idsensore,tipologia,unit_dimisura,idstazione,nomestazione,quota,provincia,datastart,storico,cgb_nord,cgb_est,lng,lat,location,:@computed_region_af5v_nc64,datastop
14605,Precipitazione,mm,1380,Tremezzo,309,CO,2013-04-18T00:00:00.000,N,5092705,516580,9.21405890,45.98771670,"{'type': 'Point', 'coordinates': [9.2140589, 45.9877167]}",7,
11813,Velocità Vento,m/s,142,Caiolo,274,SO,2012-01-27T00:00:00.000,N,5111566,561195,9.79251888,46.15492316,"{'type': 'Point', 'coordinates': [9.79251888, 46.15492316]}",7,
22573,Direzione Vento,°,1955,Magasa Malga Corva,1244,BS,2023-06-01T00:00:00.000,N,5070236,626539,0.00000000,0.00000000,"{'type': 'Point', 'coordinates': [0, 0]}",,
8098,Precipitazione,mm,823,Piazza Brembana vivaio,510,BG,1998-01-01T00:00:00.000,N,5088280,552145,9.67277767,45.94611233,"{'type': 'Point', 'coordinates': [9.67277767, 45.94611233]}",1,
14406,Precipitazione,mm,1365,Bione,911,BS,2012-11-18T00:00:00.000,N,5057931,603395,10.32736288,45.66721826,"{'type': 'Point', 'coordinates': [10.32736288, 45.66721826]}",2,
9044,Altezza Neve,cm,1222,Cavargna,1100,CO,2004-04-09T00:00:00.000,N,5104225,508568,9.11084686,46.09155206,"{'type': 'Point', 'coordinates': [9.11084686, 46.09155206]}",7,
2448,Umidità Relativa,%,133,Bema,958,SO,1993-01-01T00:00:00.000,N,5105929,544001,9.56934230,46.10552765,"{'type': 'Point', 'coordinates': [9.5693423, 46.10552765]}",7,
9785,Radiazione Globale,W/m²,846,Edolo Pantano d`Avio,2108,BS,1993-05-01T00:00:00.000,N,5114768,613679,10.47282844,46.17700799,"{'type': 'Point', 'coordinates': [10.47282844, 46.17700799]}",7,
10585,Precipitazione,mm,1274,Perledo P.zza della stazione,212,LC,2010-07-01T00:00:00.000,N,5095846,522171,9.28641942,46.01583272,"{'type': 'Point', 'coordinates': [9.28641942, 46.01583272]}",5,
9399,Umidità Relativa,%,1222,Cavargna,1100,CO,2008-12-17T00:00:00.000,N,5104225,508568,9.11084686,46.09155206,"{'type': 'Point', 'coordinates': [9.11084686, 46.09155206]}",7,
17615,Velocità Vento,m/s,859,Luino v. Piero Chiara,205,VA,2019-02-21T00:00:00.000,N,5094539,480080,8.74272325,46.00414283,"{'type': 'Point', 'coordinates': [8.74272325, 46.00414283]}",3,
14367,Temperatura,°C,1360,Clusone SP 671,564,BG,2012-11-14T00:00:00.000,N,5081243,572409,9.93314133,45.88094706,"{'type': 'Point', 'coordinates': [9.93314133, 45.88094706]}",1,
17448,Livello Idrometrico,cm,1870,Rivolta d'Adda Monfalcone,105,CR,2018-10-12T00:00:00.000,N,5037842,540270,9.51537988,45.49294606,"{'type': 'Point', 'coordinates': [9.51537988, 45.49294606]}",4,
7046,Temperatura,°C,695,Ponti sul Mincio v.San Martino,113,MN,2006-12-19T00:00:00.000,N,5030184,631718,10.68336214,45.41277633,"{'type': 'Point', 'coordinates': [10.68336214, 45.41277633]}",4,
