date,value,Wind,Rain,Temp,Humidity,value_dayb
2016-09-24,72.025,1.5088,0.0,21.5919,48.0972,73.0833
2016-09-25,74.4083,0.8215,0.0,21.1057,52.0903,72.025
2016-09-26,76.3458,1.4585,0.0,21.1238,54.1736,74.4083
2016-09-27,76.625,1.0947,0.0,21.2562,52.8125,76.3458
2016-09-28,74.4292,0.9686,0.0,21.4344,55.1389,76.625
2016-09-29,66.55,1.2161,3.8,21.256,57.9857,74.4292
2016-09-30,54.9375,1.3612,0.0,20.7322,60.7986,66.55
2016-10-01,58.525,1.1612,1.0,19.526,65.5903,54.9375
2016-10-02,42.2167,0.9503,1.2,19.7712,72.2153,58.525
2016-10-03,64.2417,1.6321,0.0,19.6985,50.5694,42.2167
2016-10-04,57.7042,1.2154,0.0,18.6416,50.2847,64.2417
2016-10-05,65.075,2.8217,0.0,16.2319,57.9931,57.7042
2016-10-06,47.2667,2.0024,0.0,13.8402,56.7153,65.075
2016-10-07,65.2958,0.9908,0.0,15.191,54.75,47.2667
2016-10-08,58.0167,1.7253,0.0,14.776,61.0278,65.2958
2016-10-09,35.1167,2.5024,8.6,13.2858,67.3958,58.0167
2016-10-10,50.5833,1.7769,19.2,12.1098,69.0139,35.1167
2016-10-11,60.5125,1.7244,0.4,11.6702,66.8681,50.5833
2016-10-12,68.4,0.9087,0.0,11.5609,62.3264,60.5125
2016-10-13,70.4208,1.5967,3.4,10.6482,74.8125,68.4
2016-10-14,59.8417,1.4274,37.4,10.2527,94.8819,70.4208
2016-10-15,46.6792,0.9775,18.4,12.2977,94.4583,59.8417
2016-10-16,47.0917,0.9658,0.0,15.3662,80.125,46.6792
2016-10-17,69.7,0.6797,0.4,15.3049,85.9444,47.0917
2016-10-18,61.5333,0.8588,0.0,15.7331,81.4097,69.7
2016-10-19,63.1917,1.2935,0.0,14.3148,88.3819,61.5333
2016-10-20,54.5125,1.8764,0.0,13.576,84.6667,63.1917
2016-10-21,56.4458,1.051,0.0,13.2682,67.9583,54.5125
2016-10-22,57.4208,1.6652,0.0,12.1475,76.1042,56.4458
2016-10-23,49.7667,1.0691,5.0,11.4587,85.375,57.4208
2016-10-24,55.1375,0.8085,3.6,12.0892,93.4722,49.7667
2016-10-25,46.2667,1.0334,4.2,12.9578,96.5278,55.1375
2016-10-26,48.775,1.2856,1.8,14.4183,92.3611,46.2667
2016-10-27,50.7875,1.4201,0.6,16.2152,73.0903,48.775
2016-10-28,64.9875,1.2679,0.0,14.7575,68.9028,50.7875
2016-10-29,55.7458,0.9547,0.0,13.8786,76.1597,64.9875
2016-10-30,65.4042,0.874,0.0,11.9427,88.0208,55.7458
2016-10-31,62.45,1.0344,0.2,10.9351,92.1806,65.4042
2016-11-01,48.4667,1.2351,0.0,11.0029,87.8194,62.45
2016-11-02,57.4917,1.1526,0.0,13.241,78.9167,48.4667
2016-11-03,63.3833,1.8431,0.0,11.9944,84.6042,57.4917
2016-11-04,55.4292,1.5035,0.0,12.0917,62.2153,63.3833
2016-11-05,52.9917,1.3165,26.0,9.9577,93.3611,55.4292
2016-11-06,46.3625,1.1321,0.8,10.1101,94.1736,52.9917
2016-11-07,72.6417,1.1764,0.0,9.6378,59.1528,46.3625
2016-11-08,72.9625,0.9576,0.0,9.0995,62.7222,72.6417
2016-11-09,74.675,1.4543,0.0,6.4051,75.4167,72.9625
2016-11-10,81.275,1.2605,0.0,7.0499,74.5694,74.675
2016-11-11,65.7708,2.2919,0.2,8.2812,68.9514,81.275
2016-11-12,78.1583,1.1289,0.0,9.6845,52.8264,65.7708
2016-11-13,63.3208,1.7185,0.0,8.6758,58.875,78.1583
2016-11-14,54.1792,1.6531,0.0,8.0383,70.2986,63.3208
2016-11-15,70.0875,1.2484,0.0,6.5502,66.8333,54.1792
2016-11-16,79.6417,0.9951,0.0,6.9183,73.5486,70.0875
2016-11-17,79.9667,1.0006,0.0,7.2775,81.4722,79.6417
2016-11-18,80.4083,0.9164,6.2,7.6211,91.8958,79.9667
2016-11-19,69.4917,0.8067,3.2,8.3651,95.3125,80.4083
2016-11-20,57.95,1.076,5.2,8.3126,95.7778,69.4917
2016-11-21,51.4208,1.3452,27.2,9.3758,98.7708,57.95
2016-11-22,58.9542,1.049,31.2,11.514,98.6944,51.4208
2016-11-23,59.3667,2.0885,1.2,13.336,95.8194,58.9542
2016-11-24,58.2542,2.5664,16.6,13.3483,92.3125,59.3667
2016-11-25,61.4083,2.0966,8.2,13.2732,93.8472,58.2542
2016-11-26,56.775,1.2949,6.4,12.7668,86.5,61.4083
2016-11-27,59.0333,0.9426,0.0,10.1514,87.0764,56.775
2016-11-28,53.3917,2.0802,0.0,9.3006,84.3125,59.0333
2016-11-29,49.1375,2.1009,0.0,5.7736,47.6042,53.3917
2016-11-30,65.8833,1.5027,0.0,4.4444,68.1111,49.1375
2016-12-01,77.975,1.7417,0.0,7.9101,57.2014,65.8833
2016-12-02,63.8042,2.7014,0.0,9.9101,69.0278,77.975
2016-12-03,61.5,1.1526,0.0,8.1267,71.6042,63.8042
2016-12-04,64.3792,0.9132,0.0,8.3531,76.4792,61.5
2016-12-05,81.8583,0.8606,0.0,7.8519,86.7639,64.3792
2016-12-06,91.8125,0.8876,0.0,6.8216,85.1319,81.8583
2016-12-07,90.8292,0.9559,0.0,6.161,79.7569,91.8125
2016-12-08,89.7391,0.9676,0.0,4.6556,79.875,90.8292
2016-12-09,92.475,0.827,0.0,3.9627,84.4931,89.7391
2016-12-10,96.8208,0.8497,0.0,3.6265,86.2917,92.475
2016-12-11,70.6708,1.1872,0.0,4.8252,84.9931,96.8208
2016-12-12,72.9542,1.1418,0.0,3.1885,95.1329,70.6708
2016-12-13,91.8292,0.8458,0.0,3.9133,91.0069,72.9542
2016-12-14,79.1417,1.1131,0.0,2.3778,97.0417,91.8292
2016-12-15,98.3208,0.8438,0.0,2.6969,93.1319,79.1417
2016-12-16,90.9625,0.8624,0.0,4.2095,90.7708,98.3208
2016-12-17,96.7167,1.0082,0.0,2.5587,95.0694,90.9625
2016-12-18,66.1958,0.9603,0.0,0.2606,91.9028,96.7167
2016-12-19,77.3833,1.0628,0.4,2.5574,83.2014,66.1958
2016-12-20,82.1042,1.4004,2.4,6.8072,78.8056,77.3833
2016-12-21,68.4792,0.9824,0.2,8.3296,89.7431,82.1042
2016-12-22,79.4083,0.7229,0.2,6.9777,92.8601,68.4792
2016-12-23,105.5458,0.8776,0.2,6.6265,90.3403,79.4083
2016-12-24,74.0542,1.0387,0.0,6.421,76.0833,105.5458
2016-12-25,90.6167,0.7881,0.0,7.1091,73.7639,74.0542
2016-12-26,90.5708,1.0804,0.0,8.4522,75.0139,90.6167
2016-12-27,81.6583,2.0738,0.0,14.3299,37.1889,90.5708
2016-12-28,75.7417,1.4216,0.0,9.2811,45.0208,81.6583
2016-12-29,59.5542,2.1125,0.0,6.4075,64.0972,75.7417
2016-12-30,73.975,1.0735,0.0,4.8003,73.3819,59.5542
2016-12-31,70.1833,0.9785,0.0,3.7862,79.2153,73.975
2017-01-01,81.3917,0.931,0.0,4.2362,73.9514,70.1833
2017-01-02,79.4167,0.9097,0.0,4.896,67.9375,81.3917
2017-01-03,77.5458,1.4675,0.0,5.1833,75.0208,79.4167
2017-01-04,72.3417,2.1322,0.0,5.669,64.5347,77.5458
2017-01-05,38.8583,4.2007,0.0,6.4423,26.1389,72.3417
2017-01-06,49.1958,1.9272,0.0,2.8631,23.9514,38.8583
2017-01-07,65.4417,1.5406,0.0,0.1908,42.9722,49.1958
2017-01-08,58.375,1.6423,0.0,-0.4224,54.0,65.4417
2017-01-09,74.7833,1.5724,0.0,0.7082,60.2708,58.375
2017-01-10,68.7542,2.0124,0.0,0.2223,70.7014,74.7833
2017-01-11,60.3958,1.9471,0.0,-0.1628,60.8958,68.7542
2017-01-12,59.6,1.9833,0.0,0.8131,75.4792,60.3958
2017-01-13,60.4208,2.7832,3.6,1.9858,72.2986,59.6
2017-01-14,70.3417,2.2568,0.0,4.8258,41.6597,60.4208
2017-01-15,66.625,1.5473,0.0,4.8,43.3194,70.3417
2017-01-16,82.9958,1.0892,0.0,3.2793,32.1806,66.625
2017-01-17,82.6375,1.2707,0.0,3.9928,26.8889,82.9958
2017-01-18,88.5042,1.0373,0.0,3.8379,42.6319,82.6375
2017-01-19,92.15,1.1328,0.0,4.4672,46.1875,88.5042
2017-01-20,105.1042,0.9067,0.0,3.8909,54.9861,92.15
2017-01-21,98.4667,0.9059,0.0,4.1986,56.1736,105.1042
2017-01-22,90.5667,1.0296,0.0,5.1265,51.1667,98.4667
2017-01-23,102.5625,0.8872,0.0,5.6628,48.7778,90.5667
2017-01-25,91.9417,1.5854,0.0,5.7983,46.7847,102.5625
2017-01-26,80.8625,2.1076,0.0,3.1835,57.0139,91.9417
2017-01-27,74.65,1.2447,0.0,3.5491,59.1528,80.8625
2017-01-28,80.5292,1.359,0.0,3.2022,69.1944,74.65
2017-01-29,84.6667,0.9234,0.0,4.0349,76.625,80.5292
2017-01-30,86.4958,0.9223,0.0,4.7148,74.5,84.6667
2017-01-31,81.0958,0.9861,0.0,4.5941,87.2569,86.4958
2017-02-01,83.8458,0.9233,1.8,5.2733,90.9236,81.0958
2017-02-02,90.1167,1.2975,6.4,5.9626,96.3681,83.8458
2017-02-03,67.675,1.536,19.2,6.5448,95.9167,90.1167
2017-02-04,72.7875,1.5844,5.6,6.5319,95.25,67.675
2017-02-05,59.7917,1.6976,18.4,4.079,96.7708,72.7875
2017-02-06,68.225,1.2612,0.8,6.462,89.1944,59.7917
2017-02-07,73.9417,1.3012,0.0,9.2804,75.3611,68.225
2017-02-08,61.6875,2.3079,0.0,7.0507,77.7708,73.9417
2017-02-09,49.7167,1.6825,0.0,5.8433,61.1875,61.6875
2017-02-10,62.5917,1.8838,4.8,4.3114,81.2639,49.7167
2017-02-11,65.2917,0.8892,0.6,5.4805,85.1319,62.5917
2017-02-12,58.3042,1.0094,0.0,7.2151,85.5139,65.2917
2017-02-13,52.8625,1.6526,0.0,6.1997,88.3403,58.3042
2017-02-14,59.7917,1.3874,0.0,8.9165,63.6111,52.8625
2017-02-15,72.0125,1.0851,0.0,9.1717,72.8819,59.7917
2017-02-16,88.0208,0.8517,0.0,10.7192,66.5417,72.0125
2017-02-17,70.4,1.1665,0.0,11.1159,73.3264,88.0208
2017-02-19,61.16,1.1213,0.0,6.8207,85.2778,70.4
2017-02-20,62.2478,1.0674,0.0,5.3297,90.6806,61.16
2017-02-21,66.8125,1.6794,0.0,7.6844,81.2083,62.2478
2017-02-22,66.6167,1.4288,0.0,7.5212,86.8194,66.8125
2017-02-23,71.6083,0.8838,0.2,7.6779,87.3056,66.6167
2017-02-24,81.1042,1.114,0.4,10.0778,84.9861,71.6083
2017-02-25,47.5375,1.7341,0.0,9.6269,61.7639,81.1042
2017-02-26,65.4625,1.2253,0.0,9.719,51.5972,47.5375
2017-02-27,64.9833,1.8488,6.8,8.6799,62.3542,65.4625
2017-02-28,60.8625,2.2497,4.8,8.1319,88.8194,64.9833
2017-03-01,62.675,1.8626,0.0,11.5799,42.4514,60.8625
2017-03-02,67.7,1.4524,0.0,11.4997,57.7153,62.675
2017-03-03,66.7,1.7535,3.8,9.4056,78.7014,67.7
2017-03-04,38.1667,3.5564,8.6,9.4629,89.3194,66.7
2017-03-05,38.8083,1.6153,0.0,10.7914,64.3889,38.1667
2017-03-06,67.55,1.2601,0.6,9.8571,68.7246,38.8083
2017-03-07,54.95,3.5405,0.2,12.1535,30.4493,67.55
2017-03-08,71.3583,1.0388,0.0,12.4308,26.0139,54.95
2017-03-09,101.3208,1.1032,0.0,13.92,35.1875,71.3583
2017-03-10,92.2733,2.4356,0.0,16.3451,26.3958,101.3208
2017-03-15,68.7857,1.8131,0.0,14.5511,45.4028,92.2733
2017-03-16,84.775,0.9499,0.0,14.9242,48.5,68.7857
2017-03-17,78.1625,1.4658,0.0,15.4187,52.5694,84.775
2017-03-18,32.1348,2.7676,0.0,14.6536,64.5208,78.1625
2017-03-19,31.3625,2.314,0.0,15.2362,66.6806,32.1348
2017-03-20,48.5208,1.3703,0.0,15.1639,66.7153,31.3625
2017-03-21,54.1708,1.9895,0.0,14.7124,72.9722,48.5208
2017-03-22,38.1958,3.2419,0.0,12.8806,84.4861,54.1708
2017-03-23,44.25,2.7749,2.2,12.4404,87.4931,38.1958
2017-03-24,59.3292,1.4755,1.6,13.2124,79.2569,44.25
2017-03-25,42.475,1.3877,9.4,14.5901,77.8333,59.3292
2017-03-26,29.1167,2.1039,8.8,11.7442,76.7986,42.475
2017-03-27,42.9833,1.6405,0.0,12.4113,53.3805,29.1167
2017-03-28,70.55,0.8593,0.0,14.8632,48.1042,42.9833
2017-03-29,86.45,0.8132,0.0,17.6826,44.3264,70.55
2017-03-30,84.5083,0.8956,0.0,19.1167,41.4514,86.45
2017-03-31,70.85,1.157,0.0,19.1271,42.3611,84.5083
2017-04-01,45.5708,1.7457,3.4,17.0241,46.0069,70.85
2017-04-02,36.4583,1.615,0.0,15.1288,64.5208,45.5708
2017-04-03,53.5625,1.5754,0.0,18.0173,48.9722,36.4583
2017-04-04,68.4333,1.4792,1.2,17.8969,41.7431,53.5625
2017-04-05,41.8083,1.9536,0.8,14.1126,69.6597,68.4333
2017-04-06,55.0542,1.4059,0.0,15.9678,53.5764,41.8083
2017-04-07,47.425,1.8833,0.0,15.3262,60.0694,55.0542
2017-04-08,53.4625,1.4528,0.0,17.1025,54.4931,47.425
2017-04-09,47.3083,1.5424,0.0,18.4707,53.8056,53.4625
2017-04-10,50.325,1.4787,0.0,19.8772,47.6458,47.3083
2017-04-11,44.5833,1.4653,0.0,19.5253,51.1944,50.325
2017-04-12,39.3333,1.7941,3.6,18.4155,55.8611,44.5833
2017-04-13,32.4708,2.3986,0.0,18.6516,57.5903,39.3333
2017-04-14,36.6375,1.4842,0.0,17.98,58.1736,32.4708
2017-04-15,27.6417,1.5076,0.0,17.9765,59.9097,36.6375
2017-04-16,25.075,1.8985,0.0,18.9905,42.4306,27.6417
2017-04-17,21.0917,2.1817,0.0,15.3292,51.4583,25.075
2017-04-18,39.775,3.3509,0.0,13.052,37.0903,21.0917
2017-04-19,41.8417,3.1331,0.0,11.7522,15.2361,39.775
2017-04-20,46.9833,1.8116,0.0,12.7658,16.5833,41.8417
2017-04-21,45.3875,1.7108,0.0,12.9947,24.4514,46.9833
2017-04-22,42.2167,1.5942,0.0,15.2827,45.5278,45.3875
2017-04-23,23.5917,1.7311,0.0,16.5288,57.2778,42.2167
2017-04-24,32.9375,1.9483,0.0,14.7469,64.1458,23.5917
2017-04-25,32.1917,1.649,0.0,15.6603,65.8403,32.9375
2017-04-26,49.8,2.5494,44.8,12.3767,86.4792,32.1917
2017-04-27,50.1583,1.3824,16.0,12.5912,91.4236,49.8
2017-04-28,39.4208,2.9885,3.6,12.6074,52.4444,50.1583
2017-04-29,45.775,1.3196,0.0,13.8475,35.9097,39.4208
