date,value,Wind,Rain,Temp,Humidity,value_dayb
2016-09-24,46.9542,1.5088,0.0,21.5919,48.0972,32.0708
2016-09-25,42.8167,0.8215,0.0,21.1057,52.0903,46.9542
2016-09-26,47.3333,1.4585,0.0,21.1238,54.1736,42.8167
2016-09-27,34.6,1.0947,0.0,21.2562,52.8125,47.3333
2016-09-28,34.65,0.9686,0.0,21.4344,55.1389,34.6
2016-09-29,52.5,1.2161,3.8,21.256,57.9857,34.65
2016-09-30,51.9333,1.3612,0.0,20.7322,60.7986,52.5
2016-10-01,40.5625,1.1612,1.0,19.526,65.5903,51.9333
2016-10-02,40.6458,0.9503,1.2,19.7712,72.2153,40.5625
2016-10-03,25.1917,1.6321,0.0,19.6985,50.5694,40.6458
2016-10-04,29.425,1.2154,0.0,18.6416,50.2847,25.1917
2016-10-05,26.8542,2.8217,0.0,16.2319,57.9931,29.425
2016-10-06,37.8125,2.0024,0.0,13.8402,56.7153,26.8542
2016-10-07,21.725,0.9908,0.0,15.191,54.75,37.8125
2016-10-08,24.4292,1.7253,0.0,14.776,61.0278,21.725
2016-10-09,28.8583,2.5024,8.6,13.2858,67.3958,24.4292
2016-10-10,30.925,1.7769,19.2,12.1098,69.0139,28.8583
2016-10-11,16.625,1.7244,0.4,11.6702,66.8681,30.925
2016-10-12,12.525,0.9087,0.0,11.5609,62.3264,16.625
2016-10-13,7.7583,1.5967,3.4,10.6482,74.8125,12.525
2016-10-14,9.6667,1.4274,37.4,10.2527,94.8819,7.7583
2016-10-15,6.0875,0.9775,18.4,12.2977,94.4583,9.6667
2016-10-16,12.575,0.9658,0.0,15.3662,80.125,6.0875
2016-10-17,6.1875,0.6797,0.4,15.3049,85.9444,12.575
2016-10-18,12.0583,0.8588,0.0,15.7331,81.4097,6.1875
2016-10-19,7.3417,1.2935,0.0,14.3148,88.3819,12.0583
2016-10-20,14.0083,1.8764,0.0,13.576,84.6667,7.3417
2016-10-21,18.5625,1.051,0.0,13.2682,67.9583,14.0083
2016-10-22,16.1333,1.6652,0.0,12.1475,76.1042,18.5625
2016-10-23,17.2958,1.0691,5.0,11.4587,85.375,16.1333
2016-10-24,7.625,0.8085,3.6,12.0892,93.4722,17.2958
2016-10-25,4.8458,1.0334,4.2,12.9578,96.5278,7.625
2016-10-26,5.2,1.2856,1.8,14.4183,92.3611,4.8458
2016-10-27,10.7792,1.4201,0.6,16.2152,73.0903,5.2
2016-10-28,12.9708,1.2679,0.0,14.7575,68.9028,10.7792
2016-10-29,13.725,0.9547,0.0,13.8786,76.1597,12.9708
2016-10-30,8.4167,0.874,0.0,11.9427,88.0208,13.725
2016-10-31,11.8875,1.0344,0.2,10.9351,92.1806,8.4167
2016-11-01,19.8458,1.2351,0.0,11.0029,87.8194,11.8875
2016-11-02,13.6083,1.1526,0.0,13.241,78.9167,19.8458
2016-11-03,9.0708,1.8431,0.0,11.9944,84.6042,13.6083
2016-11-04,16.3625,1.5035,0.0,12.0917,62.2153,9.0708
2016-11-05,8.6125,1.3165,26.0,9.9577,93.3611,16.3625
2016-11-06,5.3542,1.1321,0.8,10.1101,94.1736,8.6125
2016-11-07,10.5458,1.1764,0.0,9.6378,59.1528,5.3542
2016-11-08,8.9292,0.9576,0.0,9.0995,62.7222,10.5458
2016-11-09,7.15,1.4543,0.0,6.4051,75.4167,8.9292
2016-11-10,7.4042,1.2605,0.0,7.0499,74.5694,7.15
2016-11-11,10.15,2.2919,0.2,8.2812,68.9514,7.4042
2016-11-12,11.3958,1.1289,0.0,9.6845,52.8264,10.15
2016-11-13,9.3917,1.7185,0.0,8.6758,58.875,11.3958
2016-11-14,10.2458,1.6531,0.0,8.0383,70.2986,9.3917
2016-11-15,7.6542,1.2484,0.0,6.5502,66.8333,10.2458
2016-11-16,6.0375,0.9951,0.0,6.9183,73.5486,7.6542
2016-11-17,5.5708,1.0006,0.0,7.2775,81.4722,6.0375
2016-11-18,5.6417,0.9164,6.2,7.6211,91.8958,5.5708
2016-11-19,5.0458,0.8067,3.2,8.3651,95.3125,5.6417
2016-11-20,5.1458,1.076,5.2,8.3126,95.7778,5.0458
2016-11-21,4.8583,1.3452,27.2,9.3758,98.7708,5.1458
2016-11-22,4.8458,1.049,31.2,11.514,98.6944,4.8583
2016-11-23,5.0083,2.0885,1.2,13.336,95.8194,4.8458
