date,value,Wind,Rain,Temp,Humidity,value_dayb
2016-09-24,28.0,1.5088,0.0,21.5919,48.0972,41.0
2016-09-25,33.0,0.8215,0.0,21.1057,52.0903,28.0
2016-09-26,45.0,1.4585,0.0,21.1238,54.1736,33.0
2016-09-27,45.0,1.0947,0.0,21.2562,52.8125,45.0
2016-09-28,52.0,0.9686,0.0,21.4344,55.1389,45.0
2016-09-29,57.0,1.2161,3.8,21.256,57.9857,52.0
2016-09-30,32.0,1.3612,0.0,20.7322,60.7986,57.0
2016-10-01,23.0,1.1612,1.0,19.526,65.5903,32.0
2016-10-02,27.0,0.9503,1.2,19.7712,72.2153,23.0
2016-10-03,23.0,1.6321,0.0,19.6985,50.5694,27.0
2016-10-04,24.0,1.2154,0.0,18.6416,50.2847,23.0
2016-10-05,33.0,2.8217,0.0,16.2319,57.9931,24.0
2016-10-06,20.0,2.0024,0.0,13.8402,56.7153,33.0
2016-10-07,39.0,0.9908,0.0,15.191,54.75,20.0
2016-10-08,39.0,1.7253,0.0,14.776,61.0278,39.0
2016-10-09,15.0,2.5024,8.6,13.2858,67.3958,39.0
2016-10-10,9.0,1.7769,19.2,12.1098,69.0139,15.0
2016-10-11,20.0,1.7244,0.4,11.6702,66.8681,9.0
2016-10-12,29.0,0.9087,0.0,11.5609,62.3264,20.0
2016-10-13,29.0,1.5967,3.4,10.6482,74.8125,29.0
2016-10-14,12.0,1.4274,37.4,10.2527,94.8819,29.0
2016-10-15,19.0,0.9775,18.4,12.2977,94.4583,12.0
2016-10-16,23.0,0.9658,0.0,15.3662,80.125,19.0
2016-10-17,47.0,0.6797,0.4,15.3049,85.9444,23.0
2016-10-18,49.0,0.8588,0.0,15.7331,81.4097,47.0
2016-10-19,46.0,1.2935,0.0,14.3148,88.3819,49.0
2016-10-20,42.0,1.8764,0.0,13.576,84.6667,46.0
2016-10-21,23.0,1.051,0.0,13.2682,67.9583,42.0
2016-10-22,36.0,1.6652,0.0,12.1475,76.1042,23.0
2016-10-23,33.0,1.0691,5.0,11.4587,85.375,36.0
2016-10-24,31.0,0.8085,3.6,12.0892,93.4722,33.0
2016-10-25,28.0,1.0334,4.2,12.9578,96.5278,31.0
2016-10-26,29.0,1.2856,1.8,14.4183,92.3611,28.0
2016-10-27,23.0,1.4201,0.6,16.2152,73.0903,29.0
2016-10-28,38.0,1.2679,0.0,14.7575,68.9028,23.0
2016-10-29,48.0,0.9547,0.0,13.8786,76.1597,38.0
2016-10-30,62.0,0.874,0.0,11.9427,88.0208,48.0
2016-10-31,42.0,1.0344,0.2,10.9351,92.1806,62.0
2016-11-01,47.0,1.2351,0.0,11.0029,87.8194,42.0
2016-11-02,53.0,1.1526,0.0,13.241,78.9167,47.0
2016-11-03,55.0,1.8431,0.0,11.9944,84.6042,53.0
2016-11-04,31.0,1.5035,0.0,12.0917,62.2153,55.0
