date,value,Wind,Rain,Temp,Humidity,value_dayb
2014-03-20,1.4458,1.3733,0.0,13.8514,81.3889,1.5792
2014-04-16,0.4875,1.085,0.0,13.3695,30.4444,1.4458
2014-04-17,0.85,1.087,0.0,14.1808,27.6667,0.4875
2014-05-18,0.2583,2.7358,0.0,18.5681,38.1053,0.85
2014-06-19,0.675,1.8951,0.0,22.2535,46.6496,0.2583
2014-06-20,0.725,2.565,0.0,23.6603,42.8472,0.675
2014-06-21,0.3458,1.3883,0.0,23.1048,51.5139,0.725
2014-06-22,0.4292,1.784,0.0,24.3111,52.3542,0.3458
2014-06-23,0.3292,2.0876,3.2,24.0272,54.2847,0.4292
2014-06-24,0.525,1.3694,17.6,22.8382,63.4722,0.3292
2014-06-25,0.6042,1.4029,23.4,20.2606,75.9236,0.525
2014-06-26,0.5,1.3636,0.0,20.4897,69.9514,0.6042
2014-06-27,0.7708,1.2199,0.0,22.3592,62.5347,0.5
2014-06-28,0.5,1.3452,0.2,22.0195,65.7569,0.7708
2014-06-29,0.5208,1.7376,0.6,20.3878,69.9861,0.5
2014-06-30,0.6042,1.9312,0.0,22.3986,42.2292,0.5208
2014-07-01,0.325,1.9782,0.0,22.0638,49.2778,0.6042
2014-07-02,0.475,1.6419,1.4,20.7529,62.2222,0.325
2014-07-03,0.5,1.3951,0.0,22.8516,51.5,0.475
2014-07-04,0.9333,1.8126,4.0,20.7076,60.4097,0.5
2014-07-05,0.4875,1.783,0.0,21.7543,64.2708,0.9333
2014-07-06,0.2875,1.2582,1.8,24.6051,55.4097,0.4875
2014-07-07,0.3917,1.4621,5.2,23.5181,62.7222,0.2875
2014-07-08,0.425,2.6821,28.6,19.3994,69.9306,0.3917
2014-07-09,0.4435,2.0579,0.4,20.3198,48.0486,0.425
2014-07-10,0.5292,1.5958,0.0,20.4482,54.0347,0.4435
2014-07-11,0.5458,1.5703,0.0,22.7032,55.2153,0.5292
2014-07-12,0.7,1.2109,0.0,21.7312,60.3403,0.5458
2014-07-13,0.6333,1.2303,0.0,21.3888,62.3542,0.7
2014-07-14,0.4208,1.3886,6.4,22.0936,65.4861,0.6333
2014-07-15,0.6667,1.0942,0.0,24.8517,54.3403,0.4208
2014-07-16,0.9792,1.4915,0.0,26.666,46.5417,0.6667
2014-07-17,0.825,1.3768,0.0,27.4727,47.4514,0.9792
2014-07-18,0.6042,1.3867,0.0,27.1683,51.3958,0.825
2014-07-19,0.575,1.4257,0.0,28.459,47.1111,0.6042
2014-07-20,0.5875,1.1645,0.0,26.6478,54.6667,0.575
2014-07-21,0.6792,1.3274,8.6,20.73,71.1111,0.5875
2014-07-22,0.7208,1.0535,2.4,22.6288,65.2361,0.6792
2014-07-23,0.625,1.6801,3.6,24.2783,59.1319,0.7208
2014-07-24,0.4167,1.1232,3.0,20.3324,75.9306,0.625
2014-07-25,0.7,1.1147,0.8,23.2417,62.3958,0.4167
2014-07-26,0.3375,2.0268,34.8,19.1784,80.8681,0.7
2014-07-27,0.3708,1.1492,0.0,22.7603,64.2708,0.3375
2014-07-28,0.675,1.6131,13.8,23.3692,67.7708,0.3708
2014-07-29,0.4417,1.6112,32.0,19.2818,84.75,0.675
2014-07-30,0.8625,1.1399,0.4,19.3004,74.2847,0.4417
2014-07-31,1.0,1.0636,0.2,24.009,64.9236,0.8625
2014-08-01,0.6292,1.2287,0.0,25.525,62.4792,1.0
2014-08-02,0.4375,1.5228,1.4,23.8482,61.8681,0.6292
2014-08-03,0.4,1.4384,1.0,21.3961,68.7361,0.4375
2014-08-04,0.525,1.4549,0.2,23.4692,60.9028,0.4
2014-08-05,0.3583,1.3393,0.0,24.4133,57.8333,0.525
2014-08-06,0.5917,1.3594,0.0,24.872,56.125,0.3583
2014-08-07,0.6208,1.3113,0.0,25.736,51.4028,0.5917
2014-08-08,0.425,1.3301,0.0,25.9073,52.0972,0.6208
2014-08-09,0.4667,1.1318,3.6,24.7467,65.5139,0.425
2014-08-10,0.3542,0.9579,2.0,26.1338,61.2847,0.4667
2014-08-11,0.4458,1.5924,0.0,25.8114,57.5139,0.3542
2014-08-12,0.2762,1.7468,0.0,25.436,58.6736,0.4458
2014-08-13,0.35,1.4042,8.0,21.4137,76.0833,0.2762
2014-08-14,0.4375,1.4333,0.0,23.0774,53.5694,0.35
2014-08-15,0.2333,1.7705,0.0,21.2644,56.2569,0.4375
2014-08-16,0.2417,1.4522,2.0,20.2948,56.0278,0.2333
2014-08-17,0.3875,1.3762,0.0,21.2553,51.2569,0.2417
2014-08-18,0.325,1.7644,0.0,22.0062,53.625,0.3875
2014-08-19,0.3125,1.3104,22.6,18.8031,81.4375,0.325
