date,value,Wind,Rain,Temp,Humidity,value_dayb
2014-03-20,41.2167,1.3733,0.0,13.8514,81.3889,47.6
2014-04-17,66.5917,1.087,0.0,14.1808,27.6667,41.2167
2014-05-18,21.6042,2.7358,0.0,18.5681,38.1053,66.5917
2014-05-18,21.6042,2.7358,0.0,18.5681,38.1053,21.6042
2014-06-20,33.9375,2.565,0.0,23.6603,42.8472,21.6042
2014-06-20,33.9375,2.565,0.0,23.6603,42.8472,33.9375
2014-06-21,19.9083,1.3883,0.0,23.1048,51.5139,33.9375
2014-06-22,22.4125,1.784,0.0,24.3111,52.3542,19.9083
2014-06-22,22.4125,1.784,0.0,24.3111,52.3542,22.4125
2014-06-23,17.25,2.0876,3.2,24.0272,54.2847,22.4125
2014-06-23,17.25,2.0876,3.2,24.0272,54.2847,17.25
2014-06-24,27.6208,1.3694,17.6,22.8382,63.4722,17.25
2014-06-25,30.1042,1.4029,23.4,20.2606,75.9236,27.6208
2014-06-26,34.9917,1.3636,0.0,20.4897,69.9514,30.1042
2014-06-26,34.9917,1.3636,0.0,20.4897,69.9514,34.9917
2014-06-27,38.1083,1.2199,0.0,22.3592,62.5347,34.9917
2014-06-28,27.3042,1.3452,0.2,22.0195,65.7569,38.1083
2014-06-28,27.3042,1.3452,0.2,22.0195,65.7569,27.3042
2014-07-02,31.5333,1.6419,1.4,20.7529,62.2222,27.3042
2014-07-04,52.9667,1.8126,4.0,20.7076,60.4097,31.5333
2014-07-06,16.075,1.2582,1.8,24.6051,55.4097,52.9667
2014-07-06,16.075,1.2582,1.8,24.6051,55.4097,16.075
2014-07-07,21.2792,1.4621,5.2,23.5181,62.7222,16.075
2014-07-07,21.2792,1.4621,5.2,23.5181,62.7222,21.2792
2014-07-09,29.4174,2.0579,0.4,20.3198,48.0486,21.2792
2014-07-10,29.55,1.5958,0.0,20.4482,54.0347,29.4174
2014-07-10,29.55,1.5958,0.0,20.4482,54.0347,29.55
2014-07-11,35.0042,1.5703,0.0,22.7032,55.2153,29.55
2014-07-12,35.5917,1.2109,0.0,21.7312,60.3403,35.0042
2014-07-13,18.4542,1.2303,0.0,21.3888,62.3542,35.5917
2014-07-16,50.775,1.4915,0.0,26.666,46.5417,18.4542
2014-07-17,41.4042,1.3768,0.0,27.4727,47.4514,50.775
2014-07-20,21.9458,1.1645,0.0,26.6478,54.6667,41.4042
2014-07-20,21.9458,1.1645,0.0,26.6478,54.6667,21.9458
2014-07-21,41.5958,1.3274,8.6,20.73,71.1111,21.9458
2014-07-22,41.7917,1.0535,2.4,22.6288,65.2361,41.5958
2014-07-23,27.8375,1.6801,3.6,24.2783,59.1319,41.7917
2014-07-23,27.8375,1.6801,3.6,24.2783,59.1319,27.8375
2014-07-24,26.7083,1.1232,3.0,20.3324,75.9306,27.8375
2014-07-26,18.7333,2.0268,34.8,19.1784,80.8681,26.7083
2014-07-26,18.7333,2.0268,34.8,19.1784,80.8681,18.7333
2014-07-27,14.3875,1.1492,0.0,22.7603,64.2708,18.7333
2014-07-28,37.75,1.6131,13.8,23.3692,67.7708,14.3875
2014-07-28,37.75,1.6131,13.8,23.3692,67.7708,37.75
2014-07-29,26.6917,1.6112,32.0,19.2818,84.75,37.75
2014-07-29,26.6917,1.6112,32.0,19.2818,84.75,26.6917
2014-07-31,36.0727,1.0636,0.2,24.009,64.9236,26.6917
2014-08-01,29.2208,1.2287,0.0,25.525,62.4792,36.0727
2014-08-01,29.2208,1.2287,0.0,25.525,62.4792,29.2208
2014-08-02,22.7208,1.5228,1.4,23.8482,61.8681,29.2208
2014-08-02,22.7208,1.5228,1.4,23.8482,61.8681,22.7208
2014-08-03,20.1167,1.4384,1.0,21.3961,68.7361,22.7208
2014-08-04,24.9542,1.4549,0.2,23.4692,60.9028,20.1167
2014-08-05,25.0708,1.3393,0.0,24.4133,57.8333,24.9542
2014-08-05,25.0708,1.3393,0.0,24.4133,57.8333,25.0708
2014-08-06,30.7125,1.3594,0.0,24.872,56.125,25.0708
2014-08-08,24.6625,1.3301,0.0,25.9073,52.0972,30.7125
2014-08-09,19.3708,1.1318,3.6,24.7467,65.5139,24.6625
2014-08-10,17.2,0.9579,2.0,26.1338,61.2847,19.3708
2014-08-10,17.2,0.9579,2.0,26.1338,61.2847,17.2
2014-08-12,18.1895,1.7468,0.0,25.436,58.6736,17.2
2014-08-13,21.0208,1.4042,8.0,21.4137,76.0833,18.1895
2014-08-13,21.0208,1.4042,8.0,21.4137,76.0833,21.0208
2014-08-14,18.5375,1.4333,0.0,23.0774,53.5694,21.0208
2014-08-15,11.1542,1.7705,0.0,21.2644,56.2569,18.5375
2014-08-16,13.9833,1.4522,2.0,20.2948,56.0278,11.1542
2014-08-16,13.9833,1.4522,2.0,20.2948,56.0278,13.9833
2014-08-17,17.3708,1.3762,0.0,21.2553,51.2569,13.9833
2014-08-18,18.4708,1.7644,0.0,22.0062,53.625,17.3708
2014-08-22,20.1083,1.0088,0.0,22.0349,62.9167,18.4708
2014-08-22,20.1083,1.0088,0.0,22.0349,62.9167,20.1083
2014-08-24,28.2542,0.9197,0.0,21.63,56.0764,20.1083
2014-08-28,26.6875,1.3195,0.0,22.1765,65.5208,28.2542
2014-08-28,26.6875,1.3195,0.0,22.1765,65.5208,26.6875
2014-08-29,42.8292,1.0633,0.0,23.2638,59.3403,26.6875
2014-08-29,42.8292,1.0633,0.0,23.2638,59.3403,42.8292
2014-08-31,19.9458,1.3006,9.2,23.4084,59.6528,42.8292
2014-09-01,23.5042,2.4224,0.0,22.3825,39.4028,19.9458
2014-09-01,23.5042,2.4224,0.0,22.3825,39.4028,23.5042
2014-09-02,38.7417,0.9777,0.0,19.071,38.9344,23.5042
2014-09-02,38.7417,0.9777,0.0,19.071,38.9344,38.7417
2014-09-04,53.6625,0.6174,0.0,22.6206,55.9101,38.7417
2014-09-06,38.0333,1.0586,0.0,23.0119,58.6806,53.6625
2014-09-09,45.6083,1.2697,0.2,23.2806,63.1944,38.0333
2014-09-11,23.6375,1.5799,0.0,20.3649,63.2847,45.6083
2014-09-11,23.6375,1.5799,0.0,20.3649,63.2847,23.6375
2014-09-13,35.9583,1.2258,0.0,20.1004,54.0556,23.6375
2014-09-14,30.0542,1.0648,0.0,21.0856,56.9514,35.9583
2014-09-14,30.0542,1.0648,0.0,21.0856,56.9514,30.0542
2014-09-16,40.2167,0.9986,0.0,21.2665,62.0347,30.0542
2014-09-16,40.2167,0.9986,0.0,21.2665,62.0347,40.2167
2014-09-17,32.2208,1.2615,0.0,21.0329,59.3819,40.2167
2014-09-19,48.6875,1.113,0.8,18.6918,76.0556,32.2208
2014-09-20,32.7762,0.919,0.2,19.6592,77.1528,48.6875
2014-09-22,23.9818,2.6783,0.0,22.6451,39.0903,32.7762
2014-09-23,30.2917,1.7934,0.0,18.7401,45.0,23.9818
2014-09-23,30.2917,1.7934,0.0,18.7401,45.0,30.2917
2014-09-25,57.5375,1.1086,0.0,18.9658,46.9583,30.2917
2014-09-25,57.5375,1.1086,0.0,18.9658,46.9583,57.5375
2014-09-26,51.825,1.2252,0.0,18.5866,58.8056,57.5375
2014-09-28,34.7708,1.0149,0.0,20.3897,58.3542,51.825
2014-09-28,34.7708,1.0149,0.0,20.3897,58.3542,34.7708
2014-09-29,62.1,1.029,0.0,20.2365,60.2986,34.7708
2014-09-30,72.7792,0.9685,0.6,19.6328,65.1806,62.1
2014-10-01,36.1524,0.9922,1.6,19.0707,84.0,72.7792
2014-10-01,36.1524,0.9922,1.6,19.0707,84.0,36.1524
2014-11-19,61.9125,1.1351,0.0,10.2103,79.4167,36.1524
2014-11-20,84.4667,0.7819,0.0,9.7713,78.4375,61.9125
2014-11-20,84.4667,0.7819,0.0,9.7713,78.4375,84.4667
2014-11-21,75.8375,0.8783,0.0,9.0428,78.5208,84.4667
2014-11-22,83.7625,1.009,0.0,9.8318,80.1528,75.8375
2014-11-25,81.2625,1.0217,1.0,11.0881,85.2917,83.7625
2014-11-25,81.2625,1.0217,1.0,11.0881,85.2917,81.2625
2014-11-26,38.8208,1.2003,6.6,7.9174,91.5903,81.2625
2014-11-27,34.8786,1.1255,5.4,7.2433,91.0972,38.8208
2014-11-27,34.8786,1.1255,5.4,7.2433,91.0972,34.8786
2014-11-28,51.1167,0.941,10.6,8.6878,93.5789,34.8786
2014-11-29,52.2583,0.7094,2.4,11.7996,92.4458,51.1167
2014-11-30,38.0125,0.9992,8.2,12.2551,93.5625,52.2583
2014-12-01,38.9458,1.5015,13.2,12.8404,89.9035,38.0125
2014-12-01,38.9458,1.5015,13.2,12.8404,89.9035,38.9458
2014-12-03,36.5167,1.2688,0.0,10.1029,77.2014,38.9458
2014-12-03,36.5167,1.2688,0.0,10.1029,77.2014,36.5167
2014-12-07,34.8167,1.2765,0.2,9.3798,83.1111,36.5167
2014-12-09,41.2208,1.7458,2.4,8.456,74.4792,34.8167
2014-12-12,83.6833,0.979,0.0,5.6537,73.7014,41.2208
2014-12-15,64.7167,0.7122,4.2,7.7699,95.3611,83.6833
2014-12-15,64.7167,0.7122,4.2,7.7699,95.3611,64.7167
2014-12-16,62.8833,1.1305,15.0,8.862,89.2197,64.7167
2014-12-16,62.8833,1.1305,15.0,8.862,89.2197,62.8833
2014-12-18,69.85,0.909,0.0,7.4917,84.6319,62.8833
2014-12-19,88.8667,0.8106,0.6,7.4859,85.0,69.85
2014-12-20,37.8333,0.9502,0.0,5.3297,96.5208,88.8667
2014-12-20,37.8333,0.9502,0.0,5.3297,96.5208,37.8333
2014-12-30,48.47,1.626,0.0,2.7588,51.9306,37.8333
2014-12-30,48.47,1.626,0.0,2.7588,51.9306,48.47
2014-12-31,42.8833,1.187,0.0,0.2983,70.2778,48.47
2015-01-01,47.0083,1.2842,0.0,1.6226,71.3264,42.8833
2015-01-02,59.4708,1.4434,0.0,4.2143,65.7569,47.0083
2015-01-02,59.4708,1.4434,0.0,4.2143,65.7569,59.4708
2015-01-04,45.65,2.8514,0.0,10.1825,49.7083,59.4708
2015-01-04,45.65,2.8514,0.0,10.1825,49.7083,45.65
2015-01-05,59.9,1.4353,0.0,8.5647,36.9792,45.65
2015-01-05,59.9,1.4353,0.0,8.5647,36.9792,59.9
2015-01-07,76.6417,0.9811,0.0,6.1165,70.125,59.9
2015-01-08,65.625,1.2769,0.0,7.4558,68.5486,76.6417
2015-01-09,74.8292,1.2981,0.0,6.493,70.6528,65.625
2015-01-10,44.2,2.244,0.0,10.3699,66.5347,74.8292
2015-01-11,30.5875,2.999,0.0,8.7171,56.4514,44.2
2015-01-11,30.5875,2.999,0.0,8.7171,56.4514,30.5875
2015-01-13,78.7,0.9129,0.0,6.7533,57.0486,30.5875
2015-01-14,84.9667,1.0838,0.0,7.192,68.7986,78.7
2015-01-15,56.7667,1.1642,1.6,5.1638,82.1319,84.9667
2015-01-16,42.7083,1.1407,9.6,6.3433,92.4653,56.7667
2015-01-16,42.7083,1.1407,9.6,6.3433,92.4653,42.7083
2015-01-17,25.325,1.521,10.4,8.2754,80.0069,42.7083
2015-01-20,53.5167,1.3224,0.0,5.9499,77.1319,25.325
2015-01-21,55.975,1.2768,16.6,4.4092,88.8678,53.5167
2015-01-22,49.7958,1.2051,9.2,4.3538,85.2901,55.975
2015-01-22,49.7958,1.2051,9.2,4.3538,85.2901,49.7958
2015-01-25,54.6542,1.569,0.0,8.3722,35.4583,49.7958
2015-01-27,79.8455,0.7534,0.0,4.4451,64.4653,54.6542
2015-01-27,79.8455,0.7534,0.0,4.4451,64.4653,79.8455
