date,value,Wind,Rain,Temp,Humidity,value_dayb
2014-03-20,32.675,1.3733,0.0,13.8514,81.3889,21.475
2014-04-16,61.7292,1.085,0.0,13.3695,30.4444,32.675
2014-04-17,43.225,1.087,0.0,14.1808,27.6667,61.7292
2014-05-18,103.9083,2.7358,0.0,18.5681,38.1053,43.225
2014-06-19,67.3042,1.8951,0.0,22.2535,46.6496,103.9083
2014-06-20,77.7542,2.565,0.0,23.6603,42.8472,67.3042
2014-06-21,95.8125,1.3883,0.0,23.1048,51.5139,77.7542
2014-06-22,80.0125,1.784,0.0,24.3111,52.3542,95.8125
2014-06-23,85.9042,2.0876,3.2,24.0272,54.2847,80.0125
2014-06-24,52.7667,1.3694,17.6,22.8382,63.4722,85.9042
2014-06-25,47.8083,1.4029,23.4,20.2606,75.9236,52.7667
2014-06-26,43.9833,1.3636,0.0,20.4897,69.9514,47.8083
2014-06-27,53.5708,1.2199,0.0,22.3592,62.5347,43.9833
2014-06-28,60.7917,1.3452,0.2,22.0195,65.7569,53.5708
2014-06-29,50.7917,1.7376,0.6,20.3878,69.9861,60.7917
2014-06-30,47.7042,1.9312,0.0,22.3986,42.2292,50.7917
2014-07-01,73.1458,1.9782,0.0,22.0638,49.2778,47.7042
2014-07-02,50.9875,1.6419,1.4,20.7529,62.2222,73.1458
2014-07-03,63.4542,1.3951,0.0,22.8516,51.5,50.9875
2014-07-04,42.0708,1.8126,4.0,20.7076,60.4097,63.4542
2014-07-05,55.325,1.783,0.0,21.7543,64.2708,42.0708
2014-07-06,77.0458,1.2582,1.8,24.6051,55.4097,55.325
2014-07-07,62.2792,1.4621,5.2,23.5181,62.7222,77.0458
2014-07-08,42.9,2.6821,28.6,19.3994,69.9306,62.2792
2014-07-09,41.7174,2.0579,0.4,20.3198,48.0486,42.9
2014-07-10,55.0,1.5958,0.0,20.4482,54.0347,41.7174
2014-07-11,68.2792,1.5703,0.0,22.7032,55.2153,55.0
2014-07-12,54.45,1.2109,0.0,21.7312,60.3403,68.2792
2014-07-13,66.1708,1.2303,0.0,21.3888,62.3542,54.45
2014-07-14,66.975,1.3886,6.4,22.0936,65.4861,66.1708
2014-07-15,63.8042,1.0942,0.0,24.8517,54.3403,66.975
2014-07-16,66.4083,1.4915,0.0,26.666,46.5417,63.8042
2014-07-17,82.7167,1.3768,0.0,27.4727,47.4514,66.4083
2014-07-18,99.85,1.3867,0.0,27.1683,51.3958,82.7167
2014-07-19,101.5917,1.4257,0.0,28.459,47.1111,99.85
2014-07-20,83.5417,1.1645,0.0,26.6478,54.6667,101.5917
2014-07-21,36.3625,1.3274,8.6,20.73,71.1111,83.5417
2014-07-22,53.325,1.0535,2.4,22.6288,65.2361,36.3625
2014-07-23,68.1833,1.6801,3.6,24.2783,59.1319,53.325
2014-07-24,53.7542,1.1232,3.0,20.3324,75.9306,68.1833
2014-07-25,60.7833,1.1147,0.8,23.2417,62.3958,53.7542
2014-07-26,64.5083,2.0268,34.8,19.1784,80.8681,60.7833
2014-07-27,75.2667,1.1492,0.0,22.7603,64.2708,64.5083
2014-07-28,51.1792,1.6131,13.8,23.3692,67.7708,75.2667
2014-07-29,45.925,1.6112,32.0,19.2818,84.75,51.1792
2014-07-30,21.1167,1.1399,0.4,19.3004,74.2847,45.925
2014-07-31,52.8833,1.0636,0.2,24.009,64.9236,21.1167
2014-08-01,69.0292,1.2287,0.0,25.525,62.4792,52.8833
2014-08-02,60.1,1.5228,1.4,23.8482,61.8681,69.0292
2014-08-03,52.7875,1.4384,1.0,21.3961,68.7361,60.1
2014-08-04,49.7542,1.4549,0.2,23.4692,60.9028,52.7875
2014-08-05,64.6833,1.3393,0.0,24.4133,57.8333,49.7542
2014-08-06,63.75,1.3594,0.0,24.872,56.125,64.6833
2014-08-07,73.1,1.3113,0.0,25.736,51.4028,63.75
2014-08-08,81.6917,1.3301,0.0,25.9073,52.0972,73.1
2014-08-09,62.1667,1.1318,3.6,24.7467,65.5139,81.6917
2014-08-10,54.3458,0.9579,2.0,26.1338,61.2847,62.1667
2014-08-11,53.4583,1.5924,0.0,25.8114,57.5139,54.3458
2014-08-12,59.9208,1.7468,0.0,25.436,58.6736,53.4583
2014-08-13,37.5333,1.4042,8.0,21.4137,76.0833,59.9208
2014-08-14,47.7625,1.4333,0.0,23.0774,53.5694,37.5333
2014-08-15,62.2583,1.7705,0.0,21.2644,56.2569,47.7625
2014-08-16,59.5917,1.4522,2.0,20.2948,56.0278,62.2583
2014-08-17,58.2458,1.3762,0.0,21.2553,51.2569,59.5917
2014-08-18,70.725,1.7644,0.0,22.0062,53.625,58.2458
2014-08-19,48.9583,1.3104,22.6,18.8031,81.4375,70.725
2014-08-20,40.0708,1.0138,1.6,19.5869,78.0,48.9583
2014-08-21,54.3875,1.15,0.0,20.9089,66.4653,40.0708
