date,value,Wind,Rain,Temp,Humidity,value_dayb
2014-04-16,24.0,1.085,0.0,13.3695,30.4444,33.0
2014-04-17,30.0,1.087,0.0,14.1808,27.6667,24.0
2014-05-18,17.0,2.7358,0.0,18.5681,38.1053,30.0
2014-06-19,21.0,1.8951,0.0,22.2535,46.6496,17.0
2014-06-20,17.0,2.565,0.0,23.6603,42.8472,21.0
2014-06-21,28.0,1.3883,0.0,23.1048,51.5139,17.0
2014-06-22,27.0,1.784,0.0,24.3111,52.3542,28.0
2014-06-23,22.0,2.0876,3.2,24.0272,54.2847,27.0
2014-06-24,36.0,1.3694,17.6,22.8382,63.4722,22.0
2014-06-26,25.0,1.3636,0.0,20.4897,69.9514,36.0
2014-06-27,50.0,1.2199,0.0,22.3592,62.5347,25.0
2014-06-28,22.0,1.3452,0.2,22.0195,65.7569,50.0
2014-06-29,36.0,1.7376,0.6,20.3878,69.9861,22.0
2014-06-30,7.0,1.9312,0.0,22.3986,42.2292,36.0
2014-07-01,11.0,1.9782,0.0,22.0638,49.2778,7.0
2014-07-02,14.0,1.6419,1.4,20.7529,62.2222,11.0
2014-07-03,15.0,1.3951,0.0,22.8516,51.5,14.0
2014-07-04,30.0,1.8126,4.0,20.7076,60.4097,15.0
2014-07-05,36.0,1.783,0.0,21.7543,64.2708,30.0
2014-07-06,22.0,1.2582,1.8,24.6051,55.4097,36.0
2014-07-07,25.0,1.4621,5.2,23.5181,62.7222,22.0
2014-07-08,19.0,2.6821,28.6,19.3994,69.9306,25.0
2014-07-09,8.0,2.0579,0.4,20.3198,48.0486,19.0
2014-07-10,27.0,1.5958,0.0,20.4482,54.0347,8.0
2014-07-11,23.0,1.5703,0.0,22.7032,55.2153,27.0
2014-07-12,27.0,1.2109,0.0,21.7312,60.3403,23.0
2014-07-13,18.0,1.2303,0.0,21.3888,62.3542,27.0
2014-07-14,21.0,1.3886,6.4,22.0936,65.4861,18.0
2014-07-15,25.0,1.0942,0.0,24.8517,54.3403,21.0
2014-07-16,25.0,1.4915,0.0,26.666,46.5417,25.0
2014-07-17,25.0,1.3768,0.0,27.4727,47.4514,25.0
2014-07-18,26.0,1.3867,0.0,27.1683,51.3958,25.0
2014-07-19,29.0,1.4257,0.0,28.459,47.1111,26.0
2014-07-20,33.0,1.1645,0.0,26.6478,54.6667,29.0
2014-07-21,17.0,1.3274,8.6,20.73,71.1111,33.0
2014-07-22,21.0,1.0535,2.4,22.6288,65.2361,17.0
2014-07-23,20.0,1.6801,3.6,24.2783,59.1319,21.0
2014-07-24,11.0,1.1232,3.0,20.3324,75.9306,20.0
2014-07-25,15.0,1.1147,0.8,23.2417,62.3958,11.0
2014-07-26,10.0,2.0268,34.8,19.1784,80.8681,15.0
2014-07-27,6.0,1.1492,0.0,22.7603,64.2708,10.0
2014-07-28,15.0,1.6131,13.8,23.3692,67.7708,6.0
2014-07-29,19.0,1.6112,32.0,19.2818,84.75,15.0
2014-07-30,10.0,1.1399,0.4,19.3004,74.2847,19.0
2014-07-31,24.0,1.0636,0.2,24.009,64.9236,10.0
2014-08-01,28.0,1.2287,0.0,25.525,62.4792,24.0
2014-08-02,7.0,1.5228,1.4,23.8482,61.8681,28.0
2014-08-03,8.0,1.4384,1.0,21.3961,68.7361,7.0
2014-08-04,11.0,1.4549,0.2,23.4692,60.9028,8.0
2014-08-05,9.0,1.3393,0.0,24.4133,57.8333,11.0
2014-08-06,21.0,1.3594,0.0,24.872,56.125,9.0
2014-08-07,23.0,1.3113,0.0,25.736,51.4028,21.0
2014-08-08,16.0,1.3301,0.0,25.9073,52.0972,23.0
2014-08-09,15.0,1.1318,3.6,24.7467,65.5139,16.0
2014-08-10,13.0,0.9579,2.0,26.1338,61.2847,15.0
2014-08-11,17.0,1.5924,0.0,25.8114,57.5139,13.0
2014-08-12,17.0,1.7468,0.0,25.436,58.6736,17.0
2014-08-13,9.0,1.4042,8.0,21.4137,76.0833,17.0
2014-08-14,2.0,1.4333,0.0,23.0774,53.5694,9.0
2014-08-15,8.0,1.7705,0.0,21.2644,56.2569,2.0
2014-08-16,5.0,1.4522,2.0,20.2948,56.0278,8.0
2014-08-17,4.0,1.3762,0.0,21.2553,51.2569,5.0
2014-08-18,14.0,1.7644,0.0,22.0062,53.625,4.0
2014-08-19,10.0,1.3104,22.6,18.8031,81.4375,14.0
2014-08-20,14.0,1.0138,1.6,19.5869,78.0,10.0
2014-08-21,16.0,1.15,0.0,20.9089,66.4653,14.0
2014-08-22,29.0,1.0088,0.0,22.0349,62.9167,16.0
2014-08-23,12.0,1.2177,26.0,19.7977,72.625,29.0
2014-08-24,10.0,0.9197,0.0,21.63,56.0764,12.0
2014-08-25,16.0,1.792,0.0,19.8245,63.1319,10.0
2014-08-26,21.0,1.1443,0.0,19.4956,73.1458,16.0
2014-08-27,15.0,1.6458,0.0,22.9567,63.0347,21.0
2014-08-28,25.0,1.3195,0.0,22.1765,65.5208,15.0
2014-08-29,27.0,1.0633,0.0,23.2638,59.3403,25.0
2014-08-30,34.0,0.9678,0.0,24.4747,58.3611,27.0
2014-08-31,18.0,1.3006,9.2,23.4084,59.6528,34.0
2014-09-01,6.0,2.4224,0.0,22.3825,39.4028,18.0
2014-09-02,16.0,0.9777,0.0,19.071,38.9344,6.0
2014-09-04,26.0,0.6174,0.0,22.6206,55.9101,16.0
2014-09-05,30.0,1.1101,0.0,21.7231,65.0556,26.0
2014-09-06,18.0,1.0586,0.0,23.0119,58.6806,30.0
2014-09-07,23.0,1.2827,0.0,23.3554,58.6597,18.0
2014-09-08,37.0,1.2604,0.0,24.2717,55.0972,23.0
2014-09-09,37.0,1.2697,0.2,23.2806,63.1944,37.0
2014-09-11,13.0,1.5799,0.0,20.3649,63.2847,37.0
2014-09-12,24.0,1.7375,0.0,19.3724,57.3125,13.0
2014-09-13,21.0,1.2258,0.0,20.1004,54.0556,24.0
2014-09-14,29.0,1.0648,0.0,21.0856,56.9514,21.0
2014-09-15,31.0,1.0841,0.0,21.4385,56.2569,29.0
2014-09-16,46.0,0.9986,0.0,21.2665,62.0347,31.0
2014-09-18,31.0,1.4056,0.0,19.4878,63.5625,46.0
2014-09-19,35.0,1.113,0.8,18.6918,76.0556,31.0
2014-09-20,40.0,0.919,0.2,19.6592,77.1528,35.0
2014-09-21,42.0,1.3167,0.0,21.8438,67.3611,40.0
2014-09-22,31.0,2.6783,0.0,22.6451,39.0903,42.0
2014-09-23,37.0,1.7934,0.0,18.7401,45.0,31.0
2014-09-24,27.0,1.4605,0.0,17.5341,45.9583,37.0
2014-09-25,40.0,1.1086,0.0,18.9658,46.9583,27.0
2014-09-26,55.0,1.2252,0.0,18.5866,58.8056,40.0
2014-09-27,78.0,0.9858,0.0,19.6874,59.3403,55.0
2014-09-28,64.0,1.0149,0.0,20.3897,58.3542,78.0
2014-09-29,77.0,1.029,0.0,20.2365,60.2986,64.0
2014-09-30,71.0,0.9685,0.6,19.6328,65.1806,77.0
2014-10-01,43.0,0.9922,1.6,19.0707,84.0,71.0
2014-11-18,19.0,1.2157,0.2,10.3505,72.3521,43.0
2014-11-19,46.0,1.1351,0.0,10.2103,79.4167,19.0
2014-11-20,68.0,0.7819,0.0,9.7713,78.4375,46.0
2014-11-21,64.0,0.8783,0.0,9.0428,78.5208,68.0
2014-11-23,83.0,0.8788,0.0,9.7018,82.5139,64.0
