date,value,Rain,Wind,Temp,Humidity
2013-10-29,57.4435,1.0,2.0481,17.0527,97.507
2013-10-30,55.7708,7.8,1.2894,16.1494,93.2431
2013-10-31,56.6333,0.8,1.5876,15.1352,73.0347
2013-11-01,59.3542,0.0,0.5756,13.5833,77.7292
2013-11-02,57.3708,0.0,0.7,14.3613,74.2431
2013-11-03,49.55,6.8,0.9121,13.8366,87.3333
2013-11-04,59.8042,7.4,1.6559,11.2576,97.2639
2013-11-05,50.7167,0.0,0.9667,11.8706,86.0625
2013-11-06,46.2375,0.0,1.3094,14.6941,65.2083
2013-11-07,50.2417,0.0,1.0026,13.0337,79.2986
2013-11-08,50.2,3.2,1.18,13.5423,93.2847
2013-11-09,38.5667,1.8,0.9253,13.6335,97.0
2013-11-10,34.6,0.0,1.8402,12.0294,74.7778
2013-11-11,41.7625,0.0,1.7164,13.3291,23.4792
2013-11-12,69.4208,0.0,0.6656,11.5808,38.4722
2013-11-13,65.1208,0.2,0.5993,11.8556,54.9236
2013-11-14,57.5917,15.8,1.6336,11.3486,76.4236
2013-11-15,40.5625,29.6,1.0688,7.6271,99.0
2013-11-16,51.9792,0.0,0.9373,10.2888,88.5139
2013-11-17,48.475,0.4,0.8706,10.9626,70.0208
2013-11-18,46.1583,2.2,0.7926,9.8072,95.5625
2013-11-19,41.8917,18.6,0.8776,10.2372,99.0
2013-11-20,53.7833,5.4,1.3626,10.0715,97.8472
2013-11-21,55.6875,2.0,2.9938,6.6285,95.9236
2013-11-22,50.6417,4.4,1.1581,5.3401,96.2153
2013-11-23,52.1667,0.2,0.7431,5.9851,79.0139
2013-11-24,44.3625,0.2,0.9869,8.3144,78.8333
2013-11-25,67.2167,0.0,1.0333,7.6658,52.0
2013-11-26,62.0875,0.0,0.9028,4.7986,34.1389
2013-11-27,76.3583,0.0,0.7069,3.8308,38.0139
2013-11-28,67.1875,0.0,1.111,3.4888,49.6667
2013-11-29,82.2583,0.0,0.6171,3.8215,58.3264
2013-11-30,68.45,4.8,1.2211,2.2538,85.3542
2013-12-01,74.2042,0.0,0.6618,3.6428,80.1806
2013-12-02,75.7458,0.0,0.6789,5.8833,58.5833
2013-12-03,94.9417,0.0,0.5435,5.1369,61.6319
2013-12-04,77.2125,0.0,0.8429,4.1486,66.8472
2013-12-05,119.9708,0.0,0.7494,5.2219,65.2222
2013-12-06,76.6917,0.0,1.6207,8.5307,56.5972
2013-12-07,75.0083,0.0,0.9331,5.9624,70.8125
2013-12-08,63.0958,0.0,0.6222,4.0263,86.8333
2013-12-09,63.5,0.0,0.6653,3.0491,86.5278
2013-12-10,109.9167,0.0,0.5842,3.5796,85.2708
2013-12-11,106.9083,0.0,0.6989,3.2437,86.8333
2013-12-12,120.0292,0.0,0.564,1.966,92.5139
2013-12-13,84.4208,0.0,0.7338,4.5112,78.4722
2013-12-14,102.7958,0.0,0.7547,6.0268,67.375
2013-12-15,75.0917,0.0,0.7879,4.7769,81.8889
2013-12-16,95.25,0.0,0.6388,4.9239,68.2986
2013-12-17,111.0375,0.0,0.6759,4.7359,67.5764
2013-12-18,158.5958,0.0,0.4874,4.9017,68.9653
2013-12-19,88.6458,21.8,0.823,4.0197,92.1806
2013-12-20,54.2458,14.8,1.0474,4.3122,99.0
2013-12-21,60.5292,2.6,0.5581,5.7419,99.0
2013-12-22,55.7375,3.2,0.5008,6.9896,99.0
2013-12-23,44.1292,0.8,0.8544,7.4787,99.0
2013-12-24,46.3792,10.8,2.3516,6.7993,99.0
2013-12-25,38.5167,15.8,4.7943,8.2112,99.0
2013-12-26,34.7875,25.4,3.999,9.0842,99.0
2013-12-27,56.9375,0.0,0.7322,7.9091,97.8264
2013-12-28,55.3625,5.8,0.9331,6.7674,96.6389
2013-12-29,39.2958,6.4,0.8419,6.9893,98.8125
2013-12-30,52.3042,0.0,0.7606,6.1155,82.5175
2013-12-31,58.8708,0.0,0.5876,4.8542,69.6944
2014-01-01,69.5792,0.0,0.4882,3.8227,75.3264
2014-01-02,56.9208,6.4,0.7459,3.3734,96.2153
2014-01-03,44.8042,0.0,0.9131,4.4967,98.8472
2014-01-04,44.0083,29.0,1.0597,4.9363,97.7222
2014-01-05,41.525,20.2,0.8325,6.4355,99.0
2014-01-06,55.8708,0.0,0.4867,6.9106,95.7847
2014-01-07,70.575,0.0,0.5188,7.3662,85.9653
2014-01-08,52.0417,0.0,0.8222,8.2708,74.4097
2014-01-09,62.3,0.0,0.6886,8.3722,76.9444
2014-01-10,65.0,0.0,0.828,9.7371,80.2153
2014-01-11,48.1833,0.0,0.81,9.0286,93.0909
2014-01-12,49.5583,0.0,1.0552,6.4874,92.3681
2014-01-13,46.0458,5.6,1.3044,5.5621,97.1875
2014-01-14,42.6792,26.2,1.2825,5.1154,99.0
2014-01-15,46.1167,0.0,1.0027,4.6842,90.3542
2014-01-16,72.9667,14.4,0.6833,4.6157,99.0
2014-01-17,50.6292,37.6,1.0949,3.2557,99.0
2014-01-18,51.7208,25.4,0.7076,4.6389,99.0
2014-01-19,53.2583,36.2,0.4813,6.1419,99.0
2014-01-20,50.5125,3.8,0.6487,7.2897,99.0
2014-01-21,57.9792,0.0,0.5496,7.6843,98.875
2014-01-22,78.8417,0.0,0.5218,8.5558,86.5347
2014-01-23,66.5458,0.0,0.5661,9.2865,80.5278
2014-01-24,58.8417,0.0,1.4594,8.2314,58.0556
2014-01-25,65.4333,0.0,0.8672,6.6128,38.2778
2014-01-26,49.1625,0.0,1.8451,8.1076,43.3194
2014-01-27,49.0792,0.0,1.6476,5.9951,71.7292
2014-01-28,58.0125,0.0,0.8776,3.969,78.7431
2014-01-29,65.075,7.6,1.3382,2.6735,80.0833
2014-01-30,61.6625,30.2,0.789,1.919,99.0
2014-01-31,53.9708,10.0,0.9177,3.8197,99.0
2014-02-01,48.8708,8.4,0.7423,5.3149,99.0
2014-02-02,42.7833,3.6,0.8639,6.4722,99.0
2014-02-03,58.3833,23.4,1.1266,7.1649,99.0
2014-02-04,57.3958,2.8,1.7378,6.5212,99.0
2014-02-05,52.8208,21.4,1.9484,6.5095,99.0
2014-02-06,55.9,1.0,0.8649,7.038,94.4028
2014-02-07,62.5542,15.4,1.1573,6.1391,98.1319
2014-02-08,55.8458,7.2,1.1532,4.9292,98.875
2014-02-09,48.8958,7.0,1.345,7.3294,86.8264
2014-02-10,56.4167,23.8,2.3569,4.8832,95.0764
2014-02-11,43.6417,0.2,0.997,6.1641,89.3056
2014-02-21,69.46,0.2,0.7728,9.8144,82.5486
2014-02-22,58.9292,0.0,1.159,9.7906,72.9722
2014-02-23,55.8458,0.0,1.0945,9.0024,70.2778
2014-02-24,73.7708,0.0,0.621,9.2479,58.8819
2014-02-25,81.2792,0.0,0.8062,9.1084,57.7847
