date,value,Rain,Wind,Temp,Humidity,value_dayb
2018-01-02,37.4,0.0,1.3675,6.5101,88.9653,42.5
2018-01-03,47.9,0.4,0.9038,5.8387,81.2292,37.4
2018-01-04,37.8,0.0,0.9815,8.1765,78.4167,47.9
2018-01-05,71.6,1.4,0.8531,6.4087,82.1667,37.8
2018-01-06,49.8,7.4,0.5831,7.3478,86.8056,71.6
2018-01-07,52.2,0.2,1.553,8.7825,89.6111,49.8
2018-01-08,40.5,0.8,3.1367,10.9212,84.875,52.2
2018-01-09,30.1,9.0,2.4949,11.1001,91.0833,40.5
2018-01-10,38.0,0.0,0.9149,9.0354,91.3403,30.1
2018-01-11,54.5,0.4,0.7629,8.379,90.75,38.0
2018-01-12,59.1,0.0,0.9048,8.4535,88.7222,54.5
2018-01-13,55.4,0.0,0.6651,7.0036,89.1319,59.1
2018-01-14,63.8,0.0,0.9636,4.5267,86.8194,55.4
2018-01-15,71.9,0.4,0.6444,4.0692,88.8056,63.8
2018-01-16,57.9,0.0,0.9723,4.8782,88.0694,71.9
2018-01-17,57.1,0.4,1.4385,5.2405,79.2986,57.9
2018-01-18,56.1,0.0,0.9282,6.4751,60.6528,57.1
2018-01-19,56.1,0.0,0.7847,6.6967,54.4792,56.1
2018-01-20,72.5,0.0,1.1005,5.0846,63.8194,56.1
2018-01-21,24.7,0.0,1.7427,7.3769,50.2639,72.5
2018-01-22,46.1,0.0,1.0186,6.7304,45.3472,24.7
2018-01-24,77.2,0.0,0.7853,6.1865,63.3819,46.1
2018-01-27,54.7,2.6,1.0356,7.3468,80.5764,77.2
2018-01-28,47.4,0.2,0.5772,5.3108,85.5486,54.7
2018-01-29,61.5,0.0,0.5337,4.9668,82.5625,47.4
2018-01-30,63.5,0.0,1.2248,3.8124,81.0139,61.5
2018-01-31,60.9,1.6,0.6269,5.9856,82.3403,63.5
2018-02-01,38.3,6.0,1.7228,6.1692,84.8264,60.9
2018-02-02,39.1,0.0,1.1517,6.2872,77.6181,38.3
2018-02-03,35.2,0.0,1.1242,5.2822,68.0694,39.1
2018-02-04,35.1,0.0,1.3089,4.3797,64.8958,35.2
2018-02-05,30.6,2.4,1.3401,4.5927,72.9236,35.1
2018-02-06,31.3,10.2,0.8967,3.8778,79.3681,30.6
2018-02-07,28.0,1.8,0.8688,4.9299,74.6875,31.3
2018-02-08,51.7,0.0,0.7165,6.4396,71.0972,28.0
2018-02-09,38.6,0.4,0.9638,7.6448,66.2639,51.7
2018-02-10,38.1,2.6,0.8892,6.5772,68.4861,38.6
2018-02-11,62.3,0.0,1.2658,5.5354,67.0972,38.1
2018-02-12,65.1,0.0,1.3943,5.4512,64.4861,62.3
2018-02-13,26.2,0.0,1.0469,4.1972,54.2153,65.1
2018-02-14,46.7,0.0,0.7717,4.1625,46.4444,26.2
2018-02-15,65.6,0.0,0.8196,4.0321,52.0417,46.7
2018-02-18,70.9,0.0,1.4292,5.4539,71.0486,65.6
2018-02-19,34.5,0.0,1.1769,4.8225,58.3056,70.9
2018-02-20,54.0,0.0,1.06,5.1693,56.2431,34.5
2018-02-21,54.7,0.0,1.0208,5.3217,53.875,54.0
2018-02-22,42.7,1.0,0.8502,4.0729,69.4653,54.7
2018-02-23,32.8,5.4,0.9756,2.8596,78.6458,42.7
2018-02-24,38.5,0.4,0.9145,6.1801,69.4167,32.8
2018-02-25,33.8,0.2,3.5533,0.4206,57.9583,38.5
2018-02-26,34.2,0.0,1.9045,-1.5701,40.5486,33.8
2018-02-27,36.6,0.0,1.0655,-2.1288,41.9028,34.2
2018-02-28,58.4,0.0,1.5385,-1.3797,43.7083,36.6
2018-03-01,66.7,2.6,1.035,-1.7947,75.4097,58.4
2018-03-02,77.5,4.8,0.9033,-0.1715,79.125,66.7
2018-03-03,53.7,6.0,1.0888,1.0135,83.1875,77.5
2018-03-04,44.4,1.0,1.1353,1.8967,81.1181,53.7
2018-03-05,58.3,1.2,0.65,5.2535,77.3472,44.4
2018-03-06,57.4,1.0,0.7919,6.2411,77.4653,58.3
2018-03-07,49.9,6.8,1.1848,6.4738,79.3542,57.4
2018-03-08,43.7,0.0,0.8247,8.6831,59.3194,49.9
2018-03-09,46.9,0.0,0.989,11.0074,55.5,43.7
2018-03-10,26.5,5.2,0.778,9.1701,80.1458,46.9
2018-03-11,21.4,42.4,1.0019,8.1804,87.5417,26.5
2018-03-12,28.7,5.0,0.774,9.0788,77.6364,21.4
2018-03-13,40.3,0.0,0.7816,11.4386,63.4236,28.7
2018-03-14,33.4,0.0,1.004,11.631,52.0625,40.3
2018-03-15,35.7,21.0,1.9708,8.3761,76.3681,33.4
2018-03-16,18.5,1.6,1.1072,10.054,67.0208,35.7
2018-03-17,24.7,19.4,1.9081,8.3585,81.5,18.5
2018-03-18,9.8,11.0,1.6511,6.5939,82.3125,24.7
2018-03-19,17.6,1.2,1.6378,4.1244,78.5972,9.8
2018-03-20,30.7,5.2,1.6186,5.8845,66.2708,17.6
2018-03-21,28.0,1.2,1.5822,5.6585,54.6736,30.7
2018-03-22,34.9,0.0,1.3305,6.1194,44.6111,28.0
2018-03-23,55.6,0.0,1.5545,7.3179,49.2639,34.9
2018-03-24,37.9,0.0,2.1536,8.4184,49.4167,55.6
2018-03-25,30.0,0.0,1.2928,9.219,43.8264,37.9
2018-03-26,57.5,0.0,0.6681,10.168,48.7917,30.0
2018-03-27,61.4,0.0,0.8597,11.9776,43.7153,57.5
