date,value,Rain,Wind,Temp,Humidity
2021-09-30,14.0,0.0,1.7284,19.8464,66.1458
2021-10-01,24.0,0.0,1.4417,19.1029,58.4028
2021-10-03,18.0,2.8,2.1207,17.8031,86.1667
2021-10-04,17.0,33.4,2.4118,17.9288,93.2569
2021-10-05,11.0,4.4,1.7736,17.2169,91.0556
2021-10-06,7.0,8.4,1.3623,15.6006,76.2639
2021-10-07,11.0,0.0,0.8861,15.5936,63.7292
2021-10-08,12.0,0.0,1.0315,16.8638,61.2361
2021-10-09,12.0,0.0,1.5067,16.0716,56.125
2021-10-10,15.0,0.0,1.2774,14.5306,54.0833
2021-10-11,21.0,0.0,0.6932,13.7953,64.5069
2021-10-12,25.0,0.0,1.1726,14.3346,66.9167
2021-10-13,30.0,0.0,1.2164,13.9476,67.9653
2021-10-14,16.0,0.0,1.1168,13.2469,63.0903
2021-10-15,27.0,0.0,0.6505,12.5882,67.7778
2021-10-16,39.0,0.0,0.6739,13.3097,69.9722
2021-10-17,32.0,0.0,0.5688,13.5726,67.3611
2021-10-18,36.0,0.0,0.5592,13.9406,69.9236
2021-10-19,56.0,0.0,0.5129,14.4742,74.0903
2021-10-21,25.0,3.0,0.957,14.8129,90.9444
2021-10-23,39.0,0.0,0.6933,14.4431,80.6389
2021-10-24,23.0,0.0,1.2901,13.6049,66.8125
2021-10-25,21.0,0.0,0.9319,12.0119,66.5625
2021-10-26,32.0,0.0,0.6246,11.4911,70.5764
2021-10-27,35.0,0.0,0.6359,12.6021,68.3542
2021-10-28,38.0,0.0,0.6782,12.3598,71.1181
2021-10-29,43.0,0.0,0.6564,12.2724,72.3889
2021-10-30,42.0,1.4,0.7687,12.2158,78.4097
2021-10-31,21.0,0.2,0.7384,11.8372,87.9028
2021-11-01,25.0,36.0,0.966,11.1236,96.1875
2021-11-03,15.0,30.8,1.8084,10.9602,93.8099
2021-11-04,6.0,6.6,1.321,10.9952,80.4514
2021-11-05,16.0,0.0,0.6192,9.6847,69.5139
2021-11-06,18.0,0.0,0.6508,9.4761,62.2708
2021-11-07,18.0,0.0,0.6428,9.0865,64.7778
2021-11-08,25.0,0.0,1.0526,8.8093,84.2708
2021-11-09,19.0,0.0,0.7985,10.1394,76.1111
2021-11-10,19.0,0.0,0.7188,11.9229,75.6389
2021-11-11,27.0,0.0,0.8106,12.792,82.4444
2021-11-12,32.0,0.0,0.7714,12.0276,84.8611
2021-11-13,40.0,13.8,1.0419,11.1291,92.0069
2021-11-14,12.0,38.4,1.3768,10.5633,99.0
2021-11-15,12.0,3.8,0.6512,11.0369,95.6458
2021-11-16,25.0,2.8,0.9034,11.2064,84.4375
2021-11-17,31.0,1.0,0.8825,10.7033,91.2431
2021-11-18,25.0,0.0,0.8612,11.3564,88.3125
2021-11-19,24.0,0.0,1.1111,10.5824,91.3472
2021-11-20,23.0,0.0,0.7796,8.1251,94.0764
2021-11-21,21.0,2.6,1.1152,7.2942,95.1319
2021-11-22,16.0,9.4,0.998,8.5785,97.0278
2021-11-23,15.0,4.0,0.9462,10.7367,74.9097
2021-11-24,24.0,0.0,0.9441,8.8606,76.1806
2021-11-25,26.0,10.8,1.134,6.8281,85.0625
2021-11-26,21.0,0.0,1.2194,7.6319,86.5417
2021-11-27,25.0,0.0,1.3904,8.5999,85.7708
2021-11-28,11.0,1.8,1.2462,5.8122,79.1667
2021-11-29,7.0,0.0,1.424,5.9595,46.4444
2021-11-30,7.0,0.0,1.472,6.6712,33.9931
2021-12-01,19.0,0.0,1.2894,6.246,62.0
2021-12-02,30.0,0.2,0.7099,6.8315,77.9236
2021-12-03,29.0,0.0,0.6693,6.6479,65.4792
2021-12-04,30.0,0.0,0.6669,4.376,66.0208
2021-12-05,42.0,0.0,0.7592,4.2907,76.8403
2021-12-06,46.0,0.0,0.7031,3.7097,81.125
2021-12-07,36.0,0.0,0.8709,4.373,66.1259
2021-12-08,30.0,19.8,1.1737,1.9401,90.8819
2021-12-09,26.0,0.4,0.8802,1.9733,96.4861
2021-12-10,21.0,6.0,1.0953,2.2533,93.5694
2021-12-11,33.0,0.0,0.7162,3.3693,82.3958
2021-12-13,47.0,0.0,0.5004,5.7817,71.1831
2021-12-14,53.0,0.0,0.6836,5.8482,79.4722
2021-12-15,54.0,0.0,0.7704,5.8205,82.208
2021-12-16,68.0,0.0,0.7967,4.2323,85.7639
2021-12-17,54.0,0.0,1.0008,3.1991,90.1597
2021-12-18,50.0,0.0,0.6114,1.9811,95.6458
2021-12-19,41.0,0.0,0.7936,4.0001,88.0972
2021-12-20,35.0,0.0,1.719,4.547,81.3125
2021-12-21,38.0,0.0,0.6433,5.3551,83.6042
2021-12-22,40.0,0.0,0.7394,4.3285,86.9861
2021-12-23,28.0,0.0,1.0056,2.4632,91.8958
2021-12-24,38.0,0.0,0.6874,4.6962,77.6528
2021-12-25,49.0,1.4,0.6229,5.2994,83.0139
2021-12-26,51.0,0.0,0.6869,5.0457,86.9236
2021-12-27,55.0,3.0,0.635,5.9824,94.3819
2021-12-28,51.0,0.0,0.7559,6.6317,95.25
2021-12-29,32.0,0.0,1.0853,5.2274,93.4861
2021-12-30,32.0,0.0,0.6436,4.9536,96.3472
2021-12-31,37.0,0.0,0.6267,4.4694,94.7361
2022-01-01,110.0,0.0,0.6273,5.1804,87.7847
2022-01-02,66.0,0.0,0.6794,5.9194,87.7847
2022-01-03,36.0,0.0,1.1416,5.0213,94.2361
2022-01-04,40.0,6.4,0.6152,6.7816,96.3403
2022-01-05,19.0,10.4,0.9312,7.1197,87.6111
2022-01-06,11.0,0.0,1.0828,5.6858,77.2917
2022-01-07,20.0,0.0,0.7615,3.6628,69.2986
2022-01-08,42.0,0.0,0.8687,1.7433,81.6181
2022-01-09,49.0,0.0,0.9706,2.4188,84.0694
2022-01-10,54.0,0.0,0.6834,2.0966,82.3819
2022-01-11,43.0,0.0,0.6092,4.4168,63.1597
2022-01-12,33.0,0.0,0.5088,3.7301,64.9097
2022-01-13,45.0,0.0,0.5306,3.8005,64.0486
2022-01-14,40.0,0.0,0.753,4.6178,61.8333
2022-01-15,49.0,0.0,0.751,6.0197,62.0139
2022-01-16,47.0,0.0,0.7709,6.0688,65.8958
2022-01-17,35.0,0.0,1.2957,7.8812,52.3525
2022-01-18,54.0,0.0,1.1301,7.0356,69.3688
2022-01-19,56.0,0.0,0.709,5.6808,73.5625
2022-01-20,60.0,0.6,0.8577,5.6678,84.5556
2022-01-21,51.0,0.0,1.138,2.7411,92.4306
2022-01-22,50.0,0.0,1.2526,3.1551,85.4306
2022-01-23,55.0,0.0,1.1005,3.6649,81.0972
2022-01-24,71.0,0.0,0.912,2.0903,92.0625
2022-01-25,49.0,0.0,1.1706,3.2163,88.5903
2022-01-26,49.0,0.0,0.6619,2.2603,93.2639
2022-01-27,42.0,0.0,0.6908,1.9627,94.0833
2022-01-29,46.0,0.0,0.8858,6.736,57.0
2022-01-30,31.0,0.0,1.8901,9.1972,53.6042
2022-01-31,44.0,0.0,1.8514,7.6671,60.6806
2022-02-01,6.0,0.0,2.1403,10.8076,26.3403
2022-02-02,8.0,0.0,1.8538,13.3834,36.6389
2022-02-03,24.0,0.0,2.03,9.7674,60.7639
2022-02-04,31.0,0.0,0.9099,9.1486,78.9028
2022-02-05,63.0,0.0,0.8663,6.8912,89.9167
2022-02-06,79.0,0.0,0.841,5.9936,88.625
2022-02-07,34.0,0.0,2.2607,9.0785,43.7014
2022-02-08,20.0,0.0,0.759,8.5549,29.1597
2022-02-09,32.0,0.0,0.7583,9.4807,58.1944
2022-02-10,34.0,0.0,0.4524,9.4769,75.7778
2022-02-11,30.0,0.0,1.0869,10.9412,58.0417
2022-02-12,26.0,0.0,1.6246,8.1862,51.9236
2022-02-13,23.0,0.0,1.0597,6.4327,49.6181
2022-02-14,35.0,3.8,0.6661,4.5737,69.3542
2022-02-15,39.0,9.2,0.9351,3.4001,94.7917
2022-02-16,51.0,0.0,0.7131,5.412,88.6643
2022-02-17,28.0,0.0,1.0685,8.4569,77.5903
2022-02-18,47.0,0.0,1.7104,8.1448,81.5071
2022-02-19,60.0,1.6,0.8658,10.5497,88.2
2022-02-20,42.0,0.0,0.8676,11.2299,75.1667
2022-02-21,23.0,0.0,1.7016,11.9008,52.3542
2022-02-22,4.0,0.0,1.6204,13.0028,32.4236
2022-02-23,21.0,0.0,1.4505,11.406,40.7014
2022-02-24,33.0,0.0,0.7282,10.5597,52.2308
2022-02-25,26.0,0.0,1.1897,10.4635,43.2153
2022-02-26,7.0,0.0,1.7016,9.3666,42.3403
2022-03-01,15.0,0.0,1.5758,7.1002,39.7569
2022-03-02,28.0,0.0,0.7986,7.3969,45.6597
2022-03-03,25.0,0.0,0.6966,10.0302,54.3472
2022-03-04,39.0,0.0,2.0803,8.9215,56.9028
2022-03-05,24.0,0.0,2.3858,6.9354,48.0208
2022-03-06,21.0,0.0,1.1259,6.4309,42.7778
2022-03-07,29.0,0.0,0.9693,6.4872,46.5347
2022-03-08,26.0,0.0,1.9026,5.9127,46.8472
2022-03-09,39.0,0.0,0.6397,6.7104,48.6806
2022-03-10,48.0,0.0,0.5468,8.9335,51.3611
2022-03-11,31.0,0.0,3.0031,8.6829,54.0972
2022-03-12,19.0,0.0,2.1006,7.5958,49.4375
2022-03-13,20.0,0.0,1.5572,7.3979,42.8611
2022-03-14,24.0,0.0,0.8288,10.1342,49.7222
2022-03-15,47.0,0.0,0.7651,11.0944,58.1042
2022-03-16,29.0,0.0,1.263,12.7676,63.6944
2022-03-17,48.0,0.0,1.6612,12.2065,65.8056
2022-03-18,41.0,0.0,1.7924,12.1195,52.2917
2022-03-19,24.0,0.0,2.0531,10.6092,41.9167
2022-03-20,24.0,0.0,1.5878,9.9226,37.6389
2022-03-21,25.0,0.0,1.2362,10.631,34.3681
2022-03-22,34.0,0.0,1.0069,10.5278,36.1597
2022-03-23,36.0,0.0,0.4411,12.6431,30.8611
2022-03-24,32.0,0.0,0.582,14.4741,28.2917
2022-03-25,23.0,0.0,0.7338,15.1288,25.4375
2022-03-26,30.0,0.0,0.836,15.3878,27.3333
2022-03-27,40.0,0.0,0.778,15.5373,32.5556
2022-03-28,36.0,0.0,0.5735,15.6653,29.1806
2022-03-29,41.0,0.0,1.4519,13.9226,49.4514
2022-03-30,37.0,3.0,1.7808,11.801,79.2569
2022-03-31,27.0,3.0,0.9241,12.1676,78.0347
2022-04-01,14.0,1.2,1.549,11.0576,74.5903
2022-04-02,7.0,0.0,1.8476,8.7819,55.7778
2022-04-03,13.0,0.0,1.6123,8.5755,62.1111
2022-04-04,14.0,0.0,1.1564,9.8108,56.2639
2022-04-05,25.0,0.0,0.764,12.1305,50.4028
2022-04-06,34.0,0.0,1.4188,13.2309,54.5
2022-04-07,14.0,0.0,1.2528,14.4395,54.5556
2022-04-08,13.0,0.0,1.0788,16.6081,58.6597
2022-04-09,14.0,0.0,2.5641,14.7169,42.0
2022-04-10,6.0,0.0,1.3738,11.6971,44.1042
2022-04-11,8.0,0.0,0.897,13.6386,33.4931
2022-04-12,11.0,0.0,0.8372,15.0118,34.4236
2022-04-13,23.0,0.0,1.738,16.2717,45.8264
2022-04-14,23.0,0.0,0.9261,17.9583,44.2083
2022-04-15,24.0,0.0,1.3077,19.2175,42.0625
2022-04-16,16.0,0.0,2.1774,18.7311,44.0903
