idsensore,date,value
5551,2010-01-01T00:00:00.000,68.7391
5551,2010-01-02T00:00:00.000,58.5375
5551,2010-01-03T00:00:00.000,70.8583
5551,2010-01-04T00:00:00.000,86.6792
5551,2010-01-05T00:00:00.000,84.4708
5551,2010-01-06T00:00:00.000,82.7375
5551,2010-01-07T00:00:00.000,93.5458
5551,2010-01-08T00:00:00.000,79.8917
5551,2010-01-09T00:00:00.000,75.1417
5551,2010-01-10T00:00:00.000,58.9292
5551,2010-01-11T00:00:00.000,89.5708
5551,2010-01-12T00:00:00.000,109.8917
5551,2010-01-13T00:00:00.000,87.0667
5551,2010-01-14T00:00:00.000,85.9792
5551,2010-01-15T00:00:00.000,98.6261
5551,2010-01-16T00:00:00.000,87.3208
5551,2010-01-17T00:00:00.000,79.1417
5551,2010-01-18T00:00:00.000,107.3458
5551,2010-01-19T00:00:00.000,123.1375
5551,2010-01-20T00:00:00.000,116.5542
5551,2010-01-21T00:00:00.000,118.7917
5551,2010-01-22T00:00:00.000,94.4917
5551,2010-01-23T00:00:00.000,92.5792
5551,2010-01-24T00:00:00.000,71.0375
5551,2010-01-25T00:00:00.000,70.025
5551,2010-01-26T00:00:00.000,93.0292
5551,2010-01-27T00:00:00.000,79.2875
5551,2010-01-28T00:00:00.000,87.7
5551,2010-01-29T00:00:00.000,104.9917
5551,2010-01-30T00:00:00.000,93.4708
5551,2010-01-31T00:00:00.000,65.8292
5551,2010-02-01T00:00:00.000,101.9917
5551,2010-02-02T00:00:00.000,110.6667
5551,2010-02-03T00:00:00.000,124.3458
5551,2010-02-04T00:00:00.000,110.4958
5551,2010-02-05T00:00:00.000,108.4333
5551,2010-02-06T00:00:00.000,96.625
5551,2010-02-07T00:00:00.000,113.3208
5551,2010-02-08T00:00:00.000,91.775
5551,2010-02-09T00:00:00.000,87.2375
5551,2010-02-10T00:00:00.000,102.1333
5551,2010-02-11T00:00:00.000,72.9667
5551,2010-02-12T00:00:00.000,72.9875
5551,2010-02-13T00:00:00.000,106.3652
5551,2010-02-14T00:00:00.000,83.7458
5551,2010-02-15T00:00:00.000,81.7125
5551,2010-02-16T00:00:00.000,92.6652
5551,2010-02-17T00:00:00.000,100.8417
5551,2010-02-18T00:00:00.000,84.3875
5551,2010-02-19T00:00:00.000,93.1625
5551,2010-02-20T00:00:00.000,73.9708
5551,2010-02-21T00:00:00.000,46.6
5551,2010-02-22T00:00:00.000,67.325
5551,2010-02-23T00:00:00.000,91.7792
5551,2010-02-24T00:00:00.000,96.8333
5551,2010-02-25T00:00:00.000,111.6875
5551,2010-02-26T00:00:00.000,84.1167
5551,2010-02-27T00:00:00.000,92.3208
5551,2010-02-28T00:00:00.000,62.0375
5551,2010-03-01T00:00:00.000,99.0125
5551,2010-03-02T00:00:00.000,92.3958
5551,2010-03-03T00:00:00.000,86.5833
5551,2010-03-04T00:00:00.000,71.9333
5551,2010-03-05T00:00:00.000,65.8292
5551,2010-03-06T00:00:00.000,68.8
5551,2010-03-07T00:00:00.000,38.3
5551,2010-03-08T00:00:00.000,50.9417
5551,2010-03-09T00:00:00.000,64.9083
5551,2010-03-10T00:00:00.000,82.7958
5551,2010-03-11T00:00:00.000,72.6042
5551,2010-03-12T00:00:00.000,92.0792
5551,2010-03-13T00:00:00.000,104.925
5551,2010-03-14T00:00:00.000,90.4417
5551,2010-03-15T00:00:00.000,92.2042
5551,2010-03-16T00:00:00.000,93.4833
5551,2010-03-17T00:00:00.000,89.2292
5551,2010-03-18T00:00:00.000,75.3417
5551,2010-03-19T00:00:00.000,67.4792
5551,2010-03-20T00:00:00.000,59.5958
5551,2010-03-21T00:00:00.000,64.0958
5551,2010-03-22T00:00:00.000,70.8292
5551,2010-03-23T00:00:00.000,67.0125
5551,2010-03-24T00:00:00.000,74.5583
5551,2010-03-25T00:00:00.000,66.4667
5551,2010-03-26T00:00:00.000,60.7208
5551,2010-03-27T00:00:00.000,72.85
5551,2010-03-28T00:00:00.000,58.3375
5551,2010-03-29T00:00:00.000,75.8375
5551,2010-03-30T00:00:00.000,71.55
5551,2010-03-31T00:00:00.000,74.1833
5551,2010-04-01T00:00:00.000,61.4083
5551,2010-04-02T00:00:00.000,76.2167
5551,2010-04-03T00:00:00.000,65.475
5551,2010-04-04T00:00:00.000,40.6875
5551,2010-04-05T00:00:00.000,47.5667
5551,2010-04-06T00:00:00.000,79.05
5551,2010-04-07T00:00:00.000,75.4292
5551,2010-04-08T00:00:00.000,70.5667
5551,2010-04-09T00:00:00.000,96.1708
5551,2010-04-10T00:00:00.000,85.4333
5551,2010-04-11T00:00:00.000,29.7125
5551,2010-04-12T00:00:00.000,62.7458
5551,2010-04-13T00:00:00.000,71.005
5551,2010-04-14T00:00:00.000,101.0292
5551,2010-04-15T00:00:00.000,69.6
5551,2010-04-16T00:00:00.000,79.575
5551,2010-04-17T00:00:00.000,53.3083
5551,2010-04-18T00:00:00.000,44.5167
5551,2010-04-19T00:00:00.000,74.2417
5551,2010-04-20T00:00:00.000,77.6708
5551,2010-04-21T00:00:00.000,58.7708
5551,2010-04-22T00:00:00.000,48.8958
5551,2010-04-23T00:00:00.000,61.4958
5551,2010-04-24T00:00:00.000,48.8
5551,2010-04-25T00:00:00.000,35.2458
5551,2010-04-26T00:00:00.000,69.4708
5551,2010-04-27T00:00:00.000,71.0462
5551,2010-04-28T00:00:00.000,69.4417
5551,2010-04-29T00:00:00.000,70.475
5551,2010-04-30T00:00:00.000,58.1875
5551,2010-05-01T00:00:00.000,28.9875
5551,2010-05-02T00:00:00.000,31.8375
5551,2010-05-03T00:00:00.000,49.75
5551,2010-05-04T00:00:00.000,60.5625
5551,2010-05-05T00:00:00.000,66.0364
5551,2010-05-06T00:00:00.000,50.9583
5551,2010-05-07T00:00:00.000,51.8875
5551,2010-05-08T00:00:00.000,44.5958
5551,2010-05-09T00:00:00.000,31.7708
5551,2010-05-10T00:00:00.000,49.675
5551,2010-05-11T00:00:00.000,52.9875
5551,2010-05-12T00:00:00.000,54.3625
5551,2010-05-13T00:00:00.000,52.5792
5551,2010-05-14T00:00:00.000,58.3042
5551,2010-05-15T00:00:00.000,47.3125
5551,2010-05-16T00:00:00.000,36.4208
5551,2010-05-17T00:00:00.000,55.45
5551,2010-05-18T00:00:00.000,55.8792
5551,2010-05-19T00:00:00.000,43.8375
5551,2010-05-20T00:00:00.000,54.925
5551,2010-05-21T00:00:00.000,63.5625
5551,2010-05-22T00:00:00.000,52.7083
5551,2010-05-23T00:00:00.000,36.7208
5551,2010-05-24T00:00:00.000,49.0375
5551,2010-05-25T00:00:00.000,39.7783
5551,2010-05-26T00:00:00.000,36.9375
5551,2010-05-27T00:00:00.000,49.4417
5551,2010-05-28T00:00:00.000,64.7042
5551,2010-05-29T00:00:00.000,55.8042
5551,2010-05-30T00:00:00.000,36.2375
5551,2010-05-31T00:00:00.000,48.3792
5551,2010-06-01T00:00:00.000,40.8333
5551,2010-06-02T00:00:00.000,33.6875
5551,2010-06-03T00:00:00.000,38.7792
5551,2010-06-04T00:00:00.000,42.3375
5551,2010-06-05T00:00:00.000,31.9875
5551,2010-06-06T00:00:00.000,21.4583
5551,2010-06-07T00:00:00.000,16.3
5551,2010-06-11T00:00:00.000,56.7231
5551,2010-06-12T00:00:00.000,49.2458
5551,2010-06-13T00:00:00.000,25.4833
5551,2010-06-14T00:00:00.000,29.5375
5551,2010-06-15T00:00:00.000,34.5375
5551,2010-06-16T00:00:00.000,26.9
5551,2010-06-17T00:00:00.000,69.6615
5551,2010-06-18T00:00:00.000,53.7458
5551,2010-06-19T00:00:00.000,41.7917
5551,2010-06-20T00:00:00.000,36.0625
5551,2010-06-21T00:00:00.000,49.0875
5551,2010-06-22T00:00:00.000,52.2125
5551,2010-06-23T00:00:00.000,60.0167
5551,2010-06-24T00:00:00.000,61.9167
5551,2010-06-25T00:00:00.000,57.5417
5551,2010-06-26T00:00:00.000,57.8375
5551,2010-06-27T00:00:00.000,44.5083
5551,2010-06-28T00:00:00.000,63.5125
5551,2010-06-29T00:00:00.000,66.8792
5551,2010-06-30T00:00:00.000,68.4167
5551,2010-07-01T00:00:00.000,75.1625
5551,2010-07-02T00:00:00.000,61.9167
5551,2010-07-03T00:00:00.000,54.075
5551,2010-07-04T00:00:00.000,38.1208
5551,2010-07-05T00:00:00.000,57.1917
5551,2010-07-06T00:00:00.000,62.2077
5551,2010-07-07T00:00:00.000,68.3636
5551,2010-07-08T00:00:00.000,57.775
5551,2010-07-09T00:00:00.000,64.5917
5551,2010-07-10T00:00:00.000,52.5333
5551,2010-07-11T00:00:00.000,36.0
5551,2010-07-12T00:00:00.000,57.4917
5551,2010-07-13T00:00:00.000,48.9696
5551,2010-07-14T00:00:00.000,40.4542
5551,2010-07-15T00:00:00.000,42.2667
5551,2010-07-16T00:00:00.000,50.125
5551,2010-07-17T00:00:00.000,47.4708
5551,2010-07-18T00:00:00.000,23.925
5551,2010-07-19T00:00:00.000,41.0375
5551,2010-07-20T00:00:00.000,50.7625
5551,2010-07-21T00:00:00.000,52.7667
5551,2010-07-22T00:00:00.000,49.3
5551,2010-07-23T00:00:00.000,51.3208
5551,2010-07-24T00:00:00.000,41.1208
5551,2010-07-25T00:00:00.000,36.25
5551,2010-07-26T00:00:00.000,44.0667
5551,2010-07-27T00:00:00.000,61.1261
5551,2010-07-28T00:00:00.000,58.7333
5551,2010-07-29T00:00:00.000,53.5792
5551,2010-07-30T00:00:00.000,52.7958
5551,2010-07-31T00:00:00.000,37.4917
5551,2010-08-01T00:00:00.000,33.9583
5551,2010-08-02T00:00:00.000,47.375
5551,2010-08-03T00:00:00.000,46.175
5551,2010-08-04T00:00:00.000,41.0542
5551,2010-08-05T00:00:00.000,51.5125
5551,2010-08-06T00:00:00.000,47.025
5551,2010-08-07T00:00:00.000,36.525
5551,2010-08-08T00:00:00.000,26.7375
5551,2010-08-09T00:00:00.000,31.6625
5551,2010-08-10T00:00:00.000,38.5125
5551,2010-08-11T00:00:00.000,43.4625
5551,2010-08-12T00:00:00.000,39.6042
5551,2010-08-13T00:00:00.000,30.7417
5551,2010-08-14T00:00:00.000,28.9042
5551,2010-08-15T00:00:00.000,20.7333
5551,2010-08-16T00:00:00.000,33.6792
5551,2010-08-17T00:00:00.000,35.7042
5551,2010-08-18T00:00:00.000,29.7917
5551,2010-08-19T00:00:00.000,28.4583
5551,2010-08-20T00:00:00.000,45.0917
5551,2010-08-21T00:00:00.000,40.5917
5551,2010-08-22T00:00:00.000,44.0292
5551,2010-08-23T00:00:00.000,46.2083
5551,2010-08-24T00:00:00.000,31.4708
5551,2010-08-25T00:00:00.000,36.1792
5551,2010-08-26T00:00:00.000,49.8667
