idsensore,date,value
19007,2014-03-25T00:00:00.000,0.0
19007,2014-04-22T00:00:00.000,0.0
19007,2014-06-15T00:00:00.000,0.0
19007,2014-06-20T00:00:00.000,0.0
19007,2016-09-23T00:00:00.000,1.2443
19007,2016-09-24T00:00:00.000,1.5088
19007,2016-09-25T00:00:00.000,0.8215
19007,2016-09-26T00:00:00.000,1.4585
19007,2016-09-27T00:00:00.000,1.0947
19007,2016-09-28T00:00:00.000,0.9686
19007,2016-09-29T00:00:00.000,1.2161
19007,2016-09-30T00:00:00.000,1.3612
19007,2016-10-01T00:00:00.000,1.1612
19007,2016-10-02T00:00:00.000,0.9503
19007,2016-10-03T00:00:00.000,1.6321
19007,2016-10-04T00:00:00.000,1.2154
19007,2016-10-05T00:00:00.000,2.8217
19007,2016-10-06T00:00:00.000,2.0024
19007,2016-10-07T00:00:00.000,0.9908
19007,2016-10-08T00:00:00.000,1.7253
19007,2016-10-09T00:00:00.000,2.5024
19007,2016-10-10T00:00:00.000,1.7769
19007,2016-10-11T00:00:00.000,1.7244
19007,2016-10-12T00:00:00.000,0.9087
19007,2016-10-13T00:00:00.000,1.5967
19007,2016-10-14T00:00:00.000,1.4274
19007,2016-10-15T00:00:00.000,0.9775
19007,2016-10-16T00:00:00.000,0.9658
19007,2016-10-17T00:00:00.000,0.6797
19007,2016-10-18T00:00:00.000,0.8588
19007,2016-10-19T00:00:00.000,1.2935
19007,2016-10-20T00:00:00.000,1.8764
19007,2016-10-21T00:00:00.000,1.051
19007,2016-10-22T00:00:00.000,1.6652
19007,2016-10-23T00:00:00.000,1.0691
19007,2016-10-24T00:00:00.000,0.8085
19007,2016-10-25T00:00:00.000,1.0334
19007,2016-10-26T00:00:00.000,1.2856
19007,2016-10-27T00:00:00.000,1.4201
19007,2016-10-28T00:00:00.000,1.2679
19007,2016-10-29T00:00:00.000,0.9547
19007,2016-10-30T00:00:00.000,0.874
19007,2016-10-31T00:00:00.000,1.0344
19007,2016-11-01T00:00:00.000,1.2351
19007,2016-11-02T00:00:00.000,1.1526
19007,2016-11-03T00:00:00.000,1.8431
19007,2016-11-04T00:00:00.000,1.5035
19007,2016-11-05T00:00:00.000,1.3165
19007,2016-11-06T00:00:00.000,1.1321
19007,2016-11-07T00:00:00.000,1.1764
19007,2016-11-08T00:00:00.000,0.9576
19007,2016-11-09T00:00:00.000,1.4543
19007,2016-11-10T00:00:00.000,1.2605
19007,2016-11-11T00:00:00.000,2.2919
19007,2016-11-12T00:00:00.000,1.1289
19007,2016-11-13T00:00:00.000,1.7185
19007,2016-11-14T00:00:00.000,1.6531
19007,2016-11-15T00:00:00.000,1.2484
19007,2016-11-16T00:00:00.000,0.9951
19007,2016-11-17T00:00:00.000,1.0006
19007,2016-11-18T00:00:00.000,0.9164
19007,2016-11-19T00:00:00.000,0.8067
19007,2016-11-20T00:00:00.000,1.076
19007,2016-11-21T00:00:00.000,1.3452
19007,2016-11-22T00:00:00.000,1.049
