idsensore,date,value
17126,2012-09-13T00:00:00.000,0.5
17126,2012-09-14T00:00:00.000,1.5042
17126,2012-09-15T00:00:00.000,0.8
17126,2012-09-16T00:00:00.000,0.5583
17126,2012-09-17T00:00:00.000,0.85
17126,2012-09-18T00:00:00.000,1.3
17126,2012-09-19T00:00:00.000,0.8792
17126,2012-09-20T00:00:00.000,0.6417
17126,2012-09-21T00:00:00.000,0.7917
17126,2012-09-22T00:00:00.000,1.0542
17126,2012-09-23T00:00:00.000,0.8667
17126,2012-09-24T00:00:00.000,1.0958
17126,2012-09-25T00:00:00.000,1.0667
17126,2012-09-26T00:00:00.000,0.7444
17126,2012-09-27T00:00:00.000,0.519
17126,2012-09-28T00:00:00.000,1.1
17126,2012-09-29T00:00:00.000,1.2083
17126,2012-09-30T00:00:00.000,0.7292
17126,2012-10-01T00:00:00.000,0.6292
17126,2012-10-02T00:00:00.000,1.6458
17126,2012-10-03T00:00:00.000,0.625
17126,2012-10-04T00:00:00.000,1.1917
17126,2012-10-05T00:00:00.000,1.55
17126,2012-10-06T00:00:00.000,1.7792
17126,2012-10-07T00:00:00.000,0.4333
17126,2012-10-08T00:00:00.000,0.7294
17126,2012-10-09T00:00:00.000,0.9
17126,2012-10-10T00:00:00.000,1.125
17126,2012-10-11T00:00:00.000,1.3875
17126,2012-10-12T00:00:00.000,1.2667
17126,2012-10-13T00:00:00.000,1.3083
17126,2012-10-14T00:00:00.000,0.5708
17126,2012-10-15T00:00:00.000,0.4958
17126,2012-10-16T00:00:00.000,1.4083
17126,2012-10-17T00:00:00.000,1.4708
17126,2012-10-18T00:00:00.000,1.0111
17126,2012-10-19T00:00:00.000,1.6125
17126,2012-10-20T00:00:00.000,1.9833
17126,2012-10-21T00:00:00.000,1.6417
17126,2012-10-22T00:00:00.000,2.2125
17126,2012-10-23T00:00:00.000,2.0958
17126,2012-10-24T00:00:00.000,2.6583
17126,2012-10-25T00:00:00.000,3.0042
17126,2012-10-26T00:00:00.000,1.7083
17126,2012-10-27T00:00:00.000,1.2375
17126,2012-10-28T00:00:00.000,0.55
17126,2012-10-29T00:00:00.000,1.0409
17126,2012-10-30T00:00:00.000,1.5778
17126,2012-10-31T00:00:00.000,1.6083
17126,2012-11-01T00:00:00.000,0.6125
17126,2012-11-02T00:00:00.000,1.1136
17126,2012-11-03T00:00:00.000,1.0833
17126,2012-11-04T00:00:00.000,0.6217
17126,2012-11-05T00:00:00.000,1.8136
17126,2012-11-06T00:00:00.000,2.1478
17126,2012-11-07T00:00:00.000,2.0333
17126,2012-11-08T00:00:00.000,3.0792
17126,2012-11-09T00:00:00.000,2.7625
17126,2012-11-10T00:00:00.000,1.25
17126,2012-11-11T00:00:00.000,1.0542
17126,2012-11-12T00:00:00.000,2.0792
17126,2012-11-13T00:00:00.000,2.1125
17126,2012-11-14T00:00:00.000,1.4958
17126,2012-11-15T00:00:00.000,1.3636
17126,2012-11-16T00:00:00.000,2.105
17126,2012-11-17T00:00:00.000,3.1042
17126,2012-11-18T00:00:00.000,2.2792
17126,2012-11-19T00:00:00.000,2.9542
17126,2012-11-20T00:00:00.000,3.5
17126,2012-11-21T00:00:00.000,2.9708
17126,2012-11-22T00:00:00.000,4.0083
17126,2012-11-23T00:00:00.000,4.3875
17126,2012-11-24T00:00:00.000,3.8208
17126,2012-11-25T00:00:00.000,2.2792
17126,2012-11-26T00:00:00.000,1.8636
17126,2012-11-27T00:00:00.000,1.1792
17126,2012-11-28T00:00:00.000,0.8708
17126,2012-11-29T00:00:00.000,1.2833
17126,2012-11-30T00:00:00.000,0.9375
17126,2012-12-01T00:00:00.000,0.8458
17126,2012-12-02T00:00:00.000,0.9826
17126,2012-12-03T00:00:00.000,1.1667
17126,2012-12-04T00:00:00.000,2.075
17126,2012-12-05T00:00:00.000,2.4917
17126,2012-12-06T00:00:00.000,2.4583
17126,2012-12-07T00:00:00.000,1.4167
17126,2012-12-08T00:00:00.000,2.1708
17126,2012-12-09T00:00:00.000,3.8083
17126,2012-12-10T00:00:00.000,4.25
17126,2012-12-11T00:00:00.000,1.5333
17126,2012-12-12T00:00:00.000,2.6583
17126,2012-12-13T00:00:00.000,3.0125
17126,2012-12-14T00:00:00.000,2.825
17126,2012-12-15T00:00:00.000,2.7583
17126,2012-12-16T00:00:00.000,2.375
17126,2012-12-17T00:00:00.000,3.3667
17126,2012-12-18T00:00:00.000,2.3455
17126,2012-12-19T00:00:00.000,5.4417
17126,2012-12-20T00:00:00.000,5.7958
17126,2012-12-21T00:00:00.000,2.9875
17126,2012-12-22T00:00:00.000,2.8455
17126,2012-12-23T00:00:00.000,4.425
17126,2012-12-24T00:00:00.000,3.4625
17126,2012-12-25T00:00:00.000,2.0333
17126,2012-12-26T00:00:00.000,2.9792
17126,2012-12-27T00:00:00.000,1.8292
17126,2012-12-28T00:00:00.000,1.6042
17126,2012-12-29T00:00:00.000,2.2583
17126,2012-12-30T00:00:00.000,2.7417
17126,2012-12-31T00:00:00.000,3.25
17126,2013-01-01T00:00:00.000,2.9917
17126,2013-01-02T00:00:00.000,2.2381
17126,2013-01-03T00:00:00.000,2.2083
17126,2013-01-04T00:00:00.000,3.1545
17126,2013-01-05T00:00:00.000,2.4542
17126,2013-01-06T00:00:00.000,3.2708
17126,2013-01-07T00:00:00.000,3.0708
17126,2013-01-08T00:00:00.000,2.1619
17126,2013-01-09T00:00:00.000,1.6958
17126,2013-01-10T00:00:00.000,2.1792
17126,2013-01-11T00:00:00.000,2.6833
17126,2013-01-12T00:00:00.000,1.6792
17126,2013-01-13T00:00:00.000,1.7958
17126,2013-01-14T00:00:00.000,1.3875
17126,2013-01-15T00:00:00.000,1.4125
17126,2013-01-16T00:00:00.000,0.9083
17126,2013-01-17T00:00:00.000,1.7125
17126,2013-01-18T00:00:00.000,3.7625
17126,2013-01-19T00:00:00.000,3.6583
17126,2013-01-20T00:00:00.000,2.2417
17126,2013-01-21T00:00:00.000,2.3875
