idsensore,date,value
19242,2014-03-03T00:00:00.000,0.6754
19242,2014-03-20T00:00:00.000,1.3733
19242,2014-04-16T00:00:00.000,1.085
19242,2014-04-17T00:00:00.000,1.087
19242,2014-05-18T00:00:00.000,2.7358
19242,2014-06-19T00:00:00.000,1.8951
19242,2014-06-20T00:00:00.000,2.565
19242,2014-06-21T00:00:00.000,1.3883
19242,2014-06-22T00:00:00.000,1.784
19242,2014-06-23T00:00:00.000,2.0876
19242,2014-06-24T00:00:00.000,1.3694
19242,2014-06-25T00:00:00.000,1.4029
19242,2014-06-26T00:00:00.000,1.3636
19242,2014-06-27T00:00:00.000,1.2199
19242,2014-06-28T00:00:00.000,1.3452
19242,2014-06-29T00:00:00.000,1.7376
19242,2014-06-30T00:00:00.000,1.9312
19242,2014-07-01T00:00:00.000,1.9782
19242,2014-07-02T00:00:00.000,1.6419
19242,2014-07-03T00:00:00.000,1.3951
19242,2014-07-04T00:00:00.000,1.8126
19242,2014-07-05T00:00:00.000,1.783
19242,2014-07-06T00:00:00.000,1.2582
19242,2014-07-07T00:00:00.000,1.4621
19242,2014-07-08T00:00:00.000,2.6821
19242,2014-07-09T00:00:00.000,2.0579
19242,2014-07-10T00:00:00.000,1.5958
19242,2014-07-11T00:00:00.000,1.5703
19242,2014-07-12T00:00:00.000,1.2109
19242,2014-07-13T00:00:00.000,1.2303
19242,2014-07-14T00:00:00.000,1.3886
19242,2014-07-15T00:00:00.000,1.0942
19242,2014-07-16T00:00:00.000,1.4915
19242,2014-07-17T00:00:00.000,1.3768
19242,2014-07-18T00:00:00.000,1.3867
19242,2014-07-19T00:00:00.000,1.4257
19242,2014-07-20T00:00:00.000,1.1645
19242,2014-07-21T00:00:00.000,1.3274
19242,2014-07-22T00:00:00.000,1.0535
19242,2014-07-23T00:00:00.000,1.6801
19242,2014-07-24T00:00:00.000,1.1232
19242,2014-07-25T00:00:00.000,1.1147
19242,2014-07-26T00:00:00.000,2.0268
19242,2014-07-27T00:00:00.000,1.1492
19242,2014-07-28T00:00:00.000,1.6131
19242,2014-07-29T00:00:00.000,1.6112
19242,2014-07-30T00:00:00.000,1.1399
19242,2014-07-31T00:00:00.000,1.0636
19242,2014-08-01T00:00:00.000,1.2287
19242,2014-08-02T00:00:00.000,1.5228
19242,2014-08-03T00:00:00.000,1.4384
19242,2014-08-04T00:00:00.000,1.4549
19242,2014-08-05T00:00:00.000,1.3393
19242,2014-08-06T00:00:00.000,1.3594
19242,2014-08-07T00:00:00.000,1.3113
19242,2014-08-08T00:00:00.000,1.3301
19242,2014-08-09T00:00:00.000,1.1318
19242,2014-08-10T00:00:00.000,0.9579
19242,2014-08-11T00:00:00.000,1.5924
19242,2014-08-12T00:00:00.000,1.7468
19242,2014-08-13T00:00:00.000,1.4042
19242,2014-08-14T00:00:00.000,1.4333
19242,2014-08-15T00:00:00.000,1.7705
19242,2014-08-16T00:00:00.000,1.4522
19242,2014-08-17T00:00:00.000,1.3762
19242,2014-08-18T00:00:00.000,1.7644
19242,2014-08-19T00:00:00.000,1.3104
19242,2014-08-20T00:00:00.000,1.0138
19242,2014-08-21T00:00:00.000,1.15
19242,2014-08-22T00:00:00.000,1.0088
19242,2014-08-23T00:00:00.000,1.2177
19242,2014-08-24T00:00:00.000,0.9197
19242,2014-08-25T00:00:00.000,1.792
19242,2014-08-26T00:00:00.000,1.1443
19242,2014-08-27T00:00:00.000,1.6458
19242,2014-08-28T00:00:00.000,1.3195
19242,2014-08-29T00:00:00.000,1.0633
19242,2014-08-30T00:00:00.000,0.9678
19242,2014-08-31T00:00:00.000,1.3006
19242,2014-09-01T00:00:00.000,2.4224
19242,2014-09-02T00:00:00.000,0.9777
19242,2014-09-03T00:00:00.000,0.0
19242,2014-09-04T00:00:00.000,0.6174
19242,2014-09-05T00:00:00.000,1.1101
19242,2014-09-06T00:00:00.000,1.0586
19242,2014-09-07T00:00:00.000,1.2827
19242,2014-09-08T00:00:00.000,1.2604
19242,2014-09-09T00:00:00.000,1.2697
19242,2014-09-10T00:00:00.000,1.1342
19242,2014-09-11T00:00:00.000,1.5799
19242,2014-09-12T00:00:00.000,1.7375
19242,2014-09-13T00:00:00.000,1.2258
19242,2014-09-14T00:00:00.000,1.0648
19242,2014-09-15T00:00:00.000,1.0841
19242,2014-09-16T00:00:00.000,0.9986
19242,2014-09-17T00:00:00.000,1.2615
19242,2014-09-18T00:00:00.000,1.4056
19242,2014-09-19T00:00:00.000,1.113
19242,2014-09-20T00:00:00.000,0.919
19242,2014-09-21T00:00:00.000,1.3167
19242,2014-09-22T00:00:00.000,2.6783
19242,2014-09-23T00:00:00.000,1.7934
19242,2014-09-24T00:00:00.000,1.4605
19242,2014-09-25T00:00:00.000,1.1086
19242,2014-09-26T00:00:00.000,1.2252
19242,2014-09-27T00:00:00.000,0.9858
19242,2014-09-28T00:00:00.000,1.0149
19242,2014-09-29T00:00:00.000,1.029
19242,2014-09-30T00:00:00.000,0.9685
19242,2014-10-01T00:00:00.000,0.9922
19242,2014-10-02T00:00:00.000,0.9415
19242,2014-10-03T00:00:00.000,0.8703
19242,2014-10-04T00:00:00.000,0.9849
19242,2014-10-05T00:00:00.000,1.1065
19242,2014-10-06T00:00:00.000,1.2741
19242,2014-10-07T00:00:00.000,1.3183
19242,2014-10-08T00:00:00.000,0.8014
19242,2014-10-09T00:00:00.000,0.6827
19242,2014-10-10T00:00:00.000,0.6965
19242,2014-10-11T00:00:00.000,1.3323
19242,2014-10-12T00:00:00.000,1.0128
19242,2014-10-13T00:00:00.000,1.6935
19242,2014-10-14T00:00:00.000,1.0112
19242,2014-10-15T00:00:00.000,1.0331
19242,2014-10-16T00:00:00.000,0.8819
19242,2014-10-17T00:00:00.000,1.0747
19242,2014-10-18T00:00:00.000,1.0665
19242,2014-10-19T00:00:00.000,0.9319
19242,2014-10-20T00:00:00.000,0.8251
19242,2014-10-21T00:00:00.000,1.022
19242,2014-10-22T00:00:00.000,5.3456
19242,2014-10-23T00:00:00.000,2.9644
19242,2014-10-24T00:00:00.000,0.7704
19242,2014-10-25T00:00:00.000,1.3465
19242,2014-10-26T00:00:00.000,0.7942
19242,2014-10-27T00:00:00.000,1.1917
19242,2014-10-28T00:00:00.000,0.832
19242,2014-10-29T00:00:00.000,0.9334
19242,2014-10-30T00:00:00.000,0.9074
19242,2014-10-31T00:00:00.000,0.9845
19242,2014-11-01T00:00:00.000,0.8533
19242,2014-11-02T00:00:00.000,0.7965
19242,2014-11-03T00:00:00.000,1.2152
19242,2014-11-04T00:00:00.000,2.6562
19242,2014-11-05T00:00:00.000,2.1873
19242,2014-11-06T00:00:00.000,1.1658
19242,2014-11-07T00:00:00.000,1.0481
19242,2014-11-08T00:00:00.000,0.8206
19242,2014-11-09T00:00:00.000,1.1303
19242,2014-11-10T00:00:00.000,1.3156
19242,2014-11-11T00:00:00.000,1.7381
19242,2014-11-12T00:00:00.000,1.5025
19242,2014-11-13T00:00:00.000,1.3302
19242,2014-11-14T00:00:00.000,0.7851
19242,2014-11-15T00:00:00.000,2.515
19242,2014-11-16T00:00:00.000,0.9667
19242,2014-11-17T00:00:00.000,1.5946
19242,2014-11-18T00:00:00.000,1.2157
19242,2014-11-19T00:00:00.000,1.1351
19242,2014-11-20T00:00:00.000,0.7819
19242,2014-11-21T00:00:00.000,0.8783
19242,2014-11-22T00:00:00.000,1.009
19242,2014-11-23T00:00:00.000,0.8788
19242,2014-11-24T00:00:00.000,0.7267
19242,2014-11-25T00:00:00.000,1.0217
19242,2014-11-26T00:00:00.000,1.2003
19242,2014-11-27T00:00:00.000,1.1255
19242,2014-11-28T00:00:00.000,0.941
19242,2014-11-29T00:00:00.000,0.7094
19242,2014-11-30T00:00:00.000,0.9992
19242,2014-12-01T00:00:00.000,1.5015
19242,2014-12-02T00:00:00.000,0.9456
19242,2014-12-03T00:00:00.000,1.2688
19242,2014-12-04T00:00:00.000,0.9253
19242,2014-12-05T00:00:00.000,0.9062
19242,2014-12-06T00:00:00.000,0.7847
19242,2014-12-07T00:00:00.000,1.2765
19242,2014-12-08T00:00:00.000,0.9545
19242,2014-12-09T00:00:00.000,1.7458
19242,2014-12-10T00:00:00.000,0.9713
19242,2014-12-11T00:00:00.000,1.2116
19242,2014-12-12T00:00:00.000,0.979
19242,2014-12-13T00:00:00.000,0.9758
19242,2014-12-14T00:00:00.000,0.9394
19242,2014-12-15T00:00:00.000,0.7122
19242,2014-12-16T00:00:00.000,1.1305
19242,2014-12-17T00:00:00.000,0.7868
19242,2014-12-18T00:00:00.000,0.909
19242,2014-12-19T00:00:00.000,0.8106
19242,2014-12-20T00:00:00.000,0.9502
19242,2014-12-21T00:00:00.000,1.1847
19242,2014-12-22T00:00:00.000,1.1906
19242,2014-12-23T00:00:00.000,0.8466
19242,2014-12-24T00:00:00.000,0.989
19242,2014-12-25T00:00:00.000,0.9712
19242,2014-12-26T00:00:00.000,1.6728
19242,2014-12-27T00:00:00.000,1.3995
19242,2014-12-28T00:00:00.000,1.6709
19242,2014-12-29T00:00:00.000,1.7647
19242,2014-12-30T00:00:00.000,1.626
19242,2014-12-31T00:00:00.000,1.187
19242,2015-01-01T00:00:00.000,1.2842
19242,2015-01-02T00:00:00.000,1.4434
19242,2015-01-03T00:00:00.000,1.0018
19242,2015-01-04T00:00:00.000,2.8514
19242,2015-01-05T00:00:00.000,1.4353
19242,2015-01-06T00:00:00.000,1.322
19242,2015-01-07T00:00:00.000,0.9811
19242,2015-01-08T00:00:00.000,1.2769
19242,2015-01-09T00:00:00.000,1.2981
19242,2015-01-10T00:00:00.000,2.244
19242,2015-01-11T00:00:00.000,2.999
19242,2015-01-12T00:00:00.000,1.6497
19242,2015-01-13T00:00:00.000,0.9129
19242,2015-01-14T00:00:00.000,1.0838
19242,2015-01-15T00:00:00.000,1.1642
19242,2015-01-16T00:00:00.000,1.1407
19242,2015-01-17T00:00:00.000,1.521
19242,2015-01-18T00:00:00.000,1.0018
19242,2015-01-19T00:00:00.000,0.9199
19242,2015-01-20T00:00:00.000,1.3224
19242,2015-01-21T00:00:00.000,1.2768
19242,2015-01-22T00:00:00.000,1.2051
19242,2015-01-23T00:00:00.000,1.339
19242,2015-01-24T00:00:00.000,0.8831
19242,2015-01-25T00:00:00.000,1.569
19242,2015-01-26T00:00:00.000,1.1038
19242,2015-01-27T00:00:00.000,0.7534
19242,2016-01-01T00:00:00.000,1.0305
19242,2016-01-02T00:00:00.000,0.8817
19242,2016-01-03T00:00:00.000,1.0381
19242,2016-01-04T00:00:00.000,1.2625
19242,2016-01-05T00:00:00.000,1.0939
19242,2016-01-06T00:00:00.000,1.5139
19242,2016-01-07T00:00:00.000,1.0462
19242,2016-01-08T00:00:00.000,1.1698
19242,2016-01-09T00:00:00.000,0.8203
19242,2016-01-10T00:00:00.000,0.9226
19242,2016-01-11T00:00:00.000,1.2333
19242,2016-01-12T00:00:00.000,1.2943
19242,2016-01-13T00:00:00.000,2.172
19242,2016-01-14T00:00:00.000,1.2119
19242,2016-01-15T00:00:00.000,2.3953
19242,2016-01-16T00:00:00.000,2.1556
19242,2016-01-17T00:00:00.000,3.7733
19242,2016-01-18T00:00:00.000,1.1741
19242,2016-01-19T00:00:00.000,1.0428
19242,2016-01-20T00:00:00.000,1.0232
19242,2016-01-21T00:00:00.000,0.8894
19242,2016-01-22T00:00:00.000,0.9585
