idsensore,date,value
17127,2012-09-13T00:00:00.000,1.225
17127,2012-09-14T00:00:00.000,2.0917
17127,2012-09-15T00:00:00.000,1.625
17127,2012-09-16T00:00:00.000,0.8042
17127,2012-09-17T00:00:00.000,1.6167
17127,2012-09-18T00:00:00.000,1.6792
17127,2012-09-19T00:00:00.000,1.0556
17127,2012-09-20T00:00:00.000,1.8769
17127,2012-09-21T00:00:00.000,1.2625
17127,2012-09-22T00:00:00.000,1.2917
17127,2012-09-23T00:00:00.000,1.3042
17127,2012-09-24T00:00:00.000,1.5125
17127,2012-09-25T00:00:00.000,1.9667
17127,2012-09-26T00:00:00.000,1.6458
17127,2012-09-27T00:00:00.000,0.875
17127,2012-09-28T00:00:00.000,1.6875
17127,2012-09-29T00:00:00.000,1.5667
17127,2012-09-30T00:00:00.000,0.9208
17127,2012-10-01T00:00:00.000,0.8917
17127,2012-10-02T00:00:00.000,1.7125
17127,2012-10-03T00:00:00.000,0.8833
17127,2012-10-04T00:00:00.000,1.3708
17127,2012-10-05T00:00:00.000,1.9125
17127,2012-10-06T00:00:00.000,1.4417
17127,2012-10-07T00:00:00.000,0.6792
17127,2012-10-08T00:00:00.000,1.5333
17127,2012-10-09T00:00:00.000,1.1958
17127,2012-10-10T00:00:00.000,1.5708
17127,2012-10-11T00:00:00.000,2.2292
17127,2012-10-12T00:00:00.000,1.275
17127,2012-10-13T00:00:00.000,1.7875
17127,2012-10-14T00:00:00.000,1.0292
17127,2012-10-15T00:00:00.000,1.3417
17127,2012-10-16T00:00:00.000,1.7
17127,2012-10-17T00:00:00.000,1.8667
17127,2012-10-18T00:00:00.000,1.0167
17127,2012-10-19T00:00:00.000,1.6208
17127,2012-10-20T00:00:00.000,1.925
17127,2012-10-21T00:00:00.000,2.1333
17127,2012-10-22T00:00:00.000,2.3208
17127,2012-10-23T00:00:00.000,2.8167
17127,2012-10-24T00:00:00.000,3.0333
17127,2012-10-25T00:00:00.000,3.1042
17127,2012-10-26T00:00:00.000,2.2292
17127,2012-10-27T00:00:00.000,1.4417
17127,2012-10-28T00:00:00.000,0.925
17127,2012-10-29T00:00:00.000,1.5042
17127,2012-10-30T00:00:00.000,1.9042
17127,2012-10-31T00:00:00.000,1.825
17127,2012-11-01T00:00:00.000,1.1417
17127,2012-11-02T00:00:00.000,1.6417
17127,2012-11-03T00:00:00.000,1.6333
17127,2012-11-04T00:00:00.000,0.9739
17127,2012-11-05T00:00:00.000,1.6087
17127,2012-11-06T00:00:00.000,2.2565
17127,2012-11-07T00:00:00.000,2.1167
17127,2012-11-08T00:00:00.000,2.8958
17127,2012-11-09T00:00:00.000,2.6208
17127,2012-11-10T00:00:00.000,1.5958
17127,2012-11-11T00:00:00.000,1.2125
17127,2012-11-12T00:00:00.000,2.0875
17127,2012-11-13T00:00:00.000,2.5792
17127,2012-11-14T00:00:00.000,1.9833
17127,2012-11-15T00:00:00.000,1.9333
17127,2012-11-16T00:00:00.000,2.1458
17127,2012-11-17T00:00:00.000,2.5042
17127,2012-11-18T00:00:00.000,2.0167
17127,2012-11-19T00:00:00.000,2.2875
17127,2012-11-20T00:00:00.000,3.0333
17127,2012-11-21T00:00:00.000,2.1417
17127,2012-11-22T00:00:00.000,2.9542
17127,2012-11-23T00:00:00.000,2.9208
17127,2012-11-24T00:00:00.000,2.9583
17127,2012-11-25T00:00:00.000,1.8708
17127,2012-11-26T00:00:00.000,2.1125
17127,2012-11-27T00:00:00.000,1.6708
17127,2012-11-28T00:00:00.000,1.1958
17127,2012-11-29T00:00:00.000,1.2042
17127,2012-11-30T00:00:00.000,1.0458
17127,2012-12-01T00:00:00.000,0.875
17127,2012-12-02T00:00:00.000,0.925
17127,2012-12-03T00:00:00.000,1.025
17127,2012-12-04T00:00:00.000,1.7583
17127,2012-12-05T00:00:00.000,2.35
17127,2012-12-06T00:00:00.000,2.3542
17127,2012-12-07T00:00:00.000,1.7957
17127,2012-12-08T00:00:00.000,1.7833
17127,2012-12-09T00:00:00.000,3.2333
17127,2012-12-10T00:00:00.000,3.825
17127,2012-12-11T00:00:00.000,1.5875
17127,2012-12-12T00:00:00.000,3.2048
17127,2012-12-13T00:00:00.000,4.1091
17127,2012-12-14T00:00:00.000,3.3167
17127,2012-12-15T00:00:00.000,3.2708
17127,2012-12-16T00:00:00.000,3.1083
17127,2012-12-17T00:00:00.000,3.9667
17127,2012-12-18T00:00:00.000,2.4542
17127,2012-12-19T00:00:00.000,5.6375
17127,2012-12-20T00:00:00.000,6.2833
17127,2012-12-21T00:00:00.000,3.775
17127,2012-12-22T00:00:00.000,4.0542
17127,2012-12-23T00:00:00.000,5.2667
17127,2012-12-24T00:00:00.000,4.2125
17127,2012-12-25T00:00:00.000,2.5125
17127,2012-12-26T00:00:00.000,3.1083
17127,2012-12-27T00:00:00.000,2.4958
17127,2012-12-28T00:00:00.000,2.2125
17127,2012-12-29T00:00:00.000,3.3625
17127,2012-12-30T00:00:00.000,3.6292
17127,2012-12-31T00:00:00.000,3.6792
17127,2013-01-01T00:00:00.000,4.0458
17127,2013-01-02T00:00:00.000,3.0292
17127,2013-01-03T00:00:00.000,2.5458
17127,2013-01-04T00:00:00.000,3.525
17127,2013-01-05T00:00:00.000,3.475
17127,2013-01-06T00:00:00.000,4.2042
17127,2013-01-07T00:00:00.000,4.0042
17127,2013-01-08T00:00:00.000,2.5125
17127,2013-01-09T00:00:00.000,2.4818
17127,2013-01-10T00:00:00.000,2.5208
