idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,utm_nord,utm_est,lat,lng,location,:@computed_region_6hky_swhk,:@computed_region_ttgh_9sm5,:@computed_region_af5v_nc64,datastop
12691,Arsenico,ng/m³,560,Varese v.Copelli,383,VA,Varese,N,2008-04-01T00:00:00.000,5073728,486035,45.81697450,8.82024911,"{'type': 'Point', 'coordinates': [8.82024911, 45.8169745]}",1,1,3,
5712,Ozono,µg/m³,510,Inzago v.le Gramsci,138,MI,Inzago,S,2001-02-24T00:00:00.000,5043030,538012,45.53976956,9.48689669,"{'type': 'Point', 'coordinates': [9.48689669, 45.53976956]}",4,4,8,2018-01-01T00:00:00.000
20488,Particelle sospese PM2.5,µg/m³,564,Erba v. Battisti,279,CO,Erba,N,2020-10-22T00:00:00.000,5072803,517232,45.80857380,9.22177920,"{'type': 'Point', 'coordinates': [9.2217792, 45.8085738]}",2,2,3,
10043,PM10 (SM2005),µg/m³,687,Ferno v.Di Dio,215,VA,Ferno,N,2006-11-29T00:00:00.000,5051773,481053,45.61924753,8.75697656,"{'type': 'Point', 'coordinates': [8.75697656, 45.61924753]}",1,1,3,
6342,Ossidi di Azoto,µg/m³,515,Pero SS Sempione,141,MI,Pero,S,1986-12-10T00:00:00.000,5039595,507028,45.50985564,9.08997419,"{'type': 'Point', 'coordinates': [9.08997419, 45.50985564]}",4,4,8,2018-07-30T00:00:00.000
6665,Ozono,µg/m³,565,Cantù v.Meucci,369,CO,Cantù,N,2005-01-17T00:00:00.000,5064150,509783,45.73083728,9.12573936,"{'type': 'Point', 'coordinates': [9.12573936, 45.73083728]}",2,2,3,
10270,Ozono,µg/m³,655,Darfo Boario Terme v. De Amicis,221,BS,Darfo Boario Terme,S,2007-01-01T00:00:00.000,5080789,591371,45.87460256,10.17736553,"{'type': 'Point', 'coordinates': [10.17736553, 45.87460256]}",6,6,7,2023-07-12T00:00:00.000
5507,Biossido di Azoto,µg/m³,504,Sesto San Giovanni v. Cesare da Sesto,139,MI,Sesto San Giovanni,N,1980-12-18T00:00:00.000,5042386,518435,45.53476819,9.23610903,"{'type': 'Point', 'coordinates': [9.23610903, 45.53476819]}",4,4,8,
10035,Benzene,µg/m³,672,Cornale v.Libertà,74,PV,Cornale,N,2006-02-02T00:00:00.000,4987406,493238,45.04008561,8.91415717,"{'type': 'Point', 'coordinates': [8.91415717, 45.04008561]}",7,7,6,
6831,Ossidi di Azoto,µg/m³,657,Lonato del Garda v.del Marchesino,180,BS,Lonato del Garda,N,1990-01-01T00:00:00.000,5035536,615762,45.46375819,10.48078183,"{'type': 'Point', 'coordinates': [10.48078183, 45.46375819]}",6,6,2,
9924,Monossido di Carbonio,mg/m³,677,Cremona Via Fatebenefratelli,43,CR,Cremona,S,2006-04-08T00:00:00.000,4999315,582066,45.14254358,10.04384767,"{'type': 'Point', 'coordinates': [10.04384767, 45.14254358]}",8,8,4,2023-01-01T00:00:00.000
5685,Biossido di Zolfo,µg/m³,576,Merate v. Madonna di Loreto,279,LC,Merate,S,1991-02-17T00:00:00.000,5060569,531623,45.69795956,9.40619194,"{'type': 'Point', 'coordinates': [9.40619194, 45.69795956]}",10,10,5,2003-07-30T00:00:00.000
10299,Benzene,µg/m³,653,Brescia v.Ziziola,125,BS,Brescia,S,1997-10-15T00:00:00.000,5040836,595170,45.51456611,10.21846492,"{'type': 'Point', 'coordinates': [10.21846492, 45.51456611]}",6,6,2,2018-07-30T00:00:00.000
6623,Particolato Totale Sospeso,µg/m³,574,Lecco v. Amendola,214,LC,Lecco,S,1991-02-17T00:00:00.000,5077479,530713,45.85019631,9.39558125,"{'type': 'Point', 'coordinates': [9.39558125, 45.85019631]}",10,10,5,1999-11-01T00:00:00.000
9916,Ossidi di Azoto,µg/m³,668,Mantova Lunetta2,25,MN,Mantova,S,2004-08-04T00:00:00.000,5002119,643358,45.15799358,10.82394014,"{'type': 'Point', 'coordinates': [10.82394014, 45.15799358]}",9,9,4,2018-07-30T00:00:00.000
5616,Biossido di Zolfo,µg/m³,609,Casirate d'Adda v. Cimitero,108,BG,Casirate d'Adda,S,1984-12-14T00:00:00.000,5038450,543458,45.49822794,9.55624181,"{'type': 'Point', 'coordinates': [9.55624181, 45.49822794]}",5,5,1,2008-02-22T00:00:00.000
10179,Biossido di Azoto,µg/m³,704,Sermide e Felonica v. Dalla Chiesa,11,MN,Sermide e Felonica,S,2006-11-29T00:00:00.000,4986023,680789,45.00461511,11.29402483,"{'type': 'Point', 'coordinates': [11.29402483, 45.00461511]}",9,9,4,2017-01-01T00:00:00.000
5803,Monossido di Carbonio,mg/m³,577,Calolziocorte c.so Dante,215,LC,Calolziocorte,S,1994-11-28T00:00:00.000,5072149,533373,45.80210114,9.42947022,"{'type': 'Point', 'coordinates': [9.42947022, 45.80210114]}",10,10,5,2012-01-04T00:00:00.000
10347,Particelle sospese PM2.5,µg/m³,670,Mantova S.Agnese,22,MN,Mantova,N,2007-12-21T00:00:00.000,5002356,641122,45.16057658,10.79557331,"{'type': 'Point', 'coordinates': [10.79557331, 45.16057658]}",9,9,4,
5599,Biossido di Azoto,µg/m³,596,Osio Sotto v.per Levate,182,BG,Osio Sotto,N,2000-04-06T00:00:00.000,5052072,547691,45.62055568,9.61173782,"{'type': 'Point', 'coordinates': [9.61173782, 45.62055568]}",5,5,1,
20358,Particelle sospese PM2.5,µg/m³,504,Sesto San Giovanni v. Cesare da Sesto,139,MI,Sesto San Giovanni,N,2017-01-01T00:00:00.000,5042386,518435,45.53476819,9.23610903,"{'type': 'Point', 'coordinates': [9.23610903, 45.53476819]}",4,4,8,
5575,Biossido di Azoto,µg/m³,572,Morbegno v.Cortivacci,262,SO,Morbegno,N,1999-01-13T00:00:00.000,5108901,543736,46.13548600,9.56624000,"{'type': 'Point', 'coordinates': [9.56624, 46.135486]}",3,3,7,
5714,Ozono,µg/m³,535,Lacchiarella v.Molise,97,MI,Lacchiarella,S,1998-09-17T00:00:00.000,5019010,510542,45.32452314,9.13452950,"{'type': 'Point', 'coordinates': [9.1345295, 45.32452314]}",4,4,8,2018-01-01T00:00:00.000
5710,Ozono,µg/m³,544,Cormano v. Edison,153,MI,Cormano,N,1994-11-03T00:00:00.000,5044180,512693,45.54759700,9.16698300,"{'type': 'Point', 'coordinates': [9.166983, 45.547597]}",4,4,8,
10343,PM10 (SM2005),µg/m³,708,Parona v. della Miseria,112,PV,Parona,N,2007-09-28T00:00:00.000,5014300,480733,45.28194289,8.75433614,"{'type': 'Point', 'coordinates': [8.75433614, 45.28194289]}",7,7,6,
5620,Biossido di Zolfo,µg/m³,525,Corsico v.le Italia,119,MI,Corsico,S,1983-06-06T00:00:00.000,5031403,507619,45.43611269,9.09741197,"{'type': 'Point', 'coordinates': [9.09741197, 45.43611269]}",4,4,8,2006-11-04T00:00:00.000
20429,PM10 (SM2005),µg/m³,501,Milano v.Marche,129,MI,Milano,N,2018-01-01T00:00:00.000,5038105,514918,45.49631883,9.19093444,"{'type': 'Point', 'coordinates': [9.19093444, 45.49631883]}",4,4,8,
6918,PM10 (SM2005),µg/m³,560,Varese v.Copelli,383,VA,Varese,N,2003-07-17T00:00:00.000,5073728,486035,45.81697450,8.82024911,"{'type': 'Point', 'coordinates': [8.82024911, 45.8169745]}",1,1,3,
12584,PM10 (SM2005),µg/m³,627,Cremona P.zza Cadorna,39,CR,Cremona,N,2012-01-01T00:00:00.000,4998110,579872,45.13195042,10.01574064,"{'type': 'Point', 'coordinates': [10.01574064, 45.13195042]}",8,8,4,
6745,Biossido di Zolfo,µg/m³,647,Breno v.Don Putelli,342,BS,Breno,S,1992-06-09T00:00:00.000,5090074,600822,45.95683656,10.30106589,"{'type': 'Point', 'coordinates': [10.30106589, 45.95683656]}",6,6,7,2003-11-18T00:00:00.000
20428,PM10 (SM2005),µg/m³,683,Cassano d'Adda 2-v.Milano,133,MI,Cassano d'Adda,S,2017-12-19T00:00:00.000,5041567,540293,45.52647322,9.51599100,"{'type': 'Point', 'coordinates': [9.515991, 45.52647322]}",4,4,8,2024-04-07T00:00:00.000
6690,Ossidi di Azoto,µg/m³,642,Pavia v. Folperti,77,PV,Pavia,N,2002-06-01T00:00:00.000,5004590,512932,45.19468231,9.16464919,"{'type': 'Point', 'coordinates': [9.16464919, 45.19468231]}",7,7,6,
6258,Ossidi di Azoto,µg/m³,578,Varenna v.Polvani,220,LC,Varenna,S,1991-01-01T00:00:00.000,5095134,522088,46.00942731,9.28531411,"{'type': 'Point', 'coordinates': [9.28531411, 46.00942731]}",10,10,5,2008-02-07T00:00:00.000
10038,Biossido di Azoto,µg/m³,687,Ferno v.Di Dio,215,VA,Ferno,N,2006-11-06T00:00:00.000,5051773,481053,45.61924753,8.75697656,"{'type': 'Point', 'coordinates': [8.75697656, 45.61924753]}",1,1,3,
