idsensore,tipologia,unit_dimisura,idstazione,nomestazione,quota,provincia,datastart,storico,cgb_nord,cgb_est,lng,lat,location,:@computed_region_af5v_nc64,:@computed_region_ttgh_9sm5,datastop
8155,Precipitazione,mm,817,Pavia SS 35,71,PV,2000-05-04T00:00:00.000,N,5003026,511523,9.14666412,45.18062204,"{'type': 'Point', 'coordinates': [9.14666412, 45.18062204]}",6,7,
9117,Precipitazione,mm,1202,Vercana,980,CO,2004-01-01T00:00:00.000,N,5114303,525058,9.32468906,46.18185467,"{'type': 'Point', 'coordinates': [9.32468906, 46.18185467]}",7,2,
32373,Umidità Relativa,%,1679,Sormano rifugio Alpetto,1158,CO,2017-11-23T00:00:00.000,N,5083535,518233,9.23506881,45.90514139,"{'type': 'Point', 'coordinates': [9.23506881, 45.90514139]}",3,2,
14083,Direzione Vento,°,1325,Collio Memmo,1069,BS,2012-03-15T00:00:00.000,N,5073930,602209,10.31552778,45.81136111,"{'type': 'Point', 'coordinates': [10.31552778, 45.81136111]}",2,6,
6169,Umidità Relativa,%,617,Tavazzano con Villavesco Enel suolo,80,LO,2000-01-13T00:00:00.000,S,5020175,533401,9.42627342,45.33429114,"{'type': 'Point', 'coordinates': [9.42627342, 45.33429114]}",8,11,2015-06-15T00:00:00.000
14190,Velocità Vento,m/s,1342,Ponte in Valtellina Lago Reguzzo,2440,SO,2012-10-13T00:00:00.000,N,5105228,574978,9.96999939,46.09651358,"{'type': 'Point', 'coordinates': [9.96999939, 46.09651358]}",7,3,
19103,Velocità Vento,m/s,594,Bergamo v.Goisis,290,BG,2014-01-30T00:00:00.000,N,5062715,553620,9.68896994,45.71591825,"{'type': 'Point', 'coordinates': [9.68896994, 45.71591825]}",1,5,
14724,Precipitazione,mm,1545,San Siro Alpe Rescascìa,1285,CO,2014-12-30T00:00:00.000,N,5102069,518430,9.23833270,46.07194520,"{'type': 'Point', 'coordinates': [9.2383327, 46.0719452]}",7,2,
2472,Umidità Relativa,%,135,Vertemate con Minoprio villa,322,CO,1993-01-02T00:00:00.000,S,5062757,506658,10.20477700,45.85105200,"{'type': 'Point', 'coordinates': [10.204777, 45.851052]}",7,6,2010-07-22T00:00:00.000
12755,Temperatura,°C,1510,Monza v.Monte Generoso,173,MB,2020-11-25T00:00:00.000,N,5048372,519174,9.24580749,45.58862553,"{'type': 'Point', 'coordinates': [9.24580749, 45.58862553]}",5,12,
32228,Direzione Vento,°,874,Sarnico v. Roma,197,BG,2016-06-22T00:00:00.000,N,5057377,574538,9.95688896,45.66594103,"{'type': 'Point', 'coordinates': [9.95688896, 45.66594103]}",1,5,
19436,Direzione Vento,°,1657,Mariano Comense campo sportivo,255,CO,2017-10-10T00:00:00.000,N,5059052,513843,9.17777300,45.68488400,"{'type': 'Point', 'coordinates': [9.177773, 45.684884]}",3,2,
9096,Precipitazione,mm,1215,Taleggio,763,BG,2004-01-01T00:00:00.000,S,5082304,543960,9.56663314,45.89290225,"{'type': 'Point', 'coordinates': [9.56663314, 45.89290225]}",1,5,2012-11-10T00:00:00.000
9322,Precipitazione,mm,625,Casalmaggiore v.Volta,23,CR,2004-01-20T00:00:00.000,S,4981793,612537,10.42738161,44.98066517,"{'type': 'Point', 'coordinates': [10.42738161, 44.98066517]}",4,8,2007-02-21T00:00:00.000
17533,Umidità Relativa,%,3,Sondalo Le Prese,950,SO,2019-01-07T00:00:00.000,N,5133847,604242,10.35482014,46.35017631,"{'type': 'Point', 'coordinates': [10.35482014, 46.35017631]}",7,3,
9095,Precipitazione,mm,1217,Schilpario,1096,BG,2004-01-01T00:00:00.000,S,5095451,588221,10.13948686,46.00695864,"{'type': 'Point', 'coordinates': [10.13948686, 46.00695864]}",1,5,2012-09-23T00:00:00.000
