idsensore,data,valore
17126,2021-01-02,0.6
17126,2021-01-02,0.8
17126,2021-01-02,0.9
17126,2021-01-02,0.8
17126,2021-01-02,0.8
17126,2021-01-02,0.6
17126,2021-01-02,0.5
17126,2021-01-02,0.4
17126,2021-01-02,0.5
17126,2021-01-02,0.5
17126,2021-01-02,0.5
17126,2021-01-02,0.6
17126,2021-01-02,0.7
17126,2021-01-02,1.0
17126,2021-01-02,1.3
17126,2021-01-02,1.3
17126,2021-01-02,1.2
17126,2021-01-02,1.0
17126,2021-01-02,0.8
17126,2021-01-02,0.7
17126,2021-01-02,0.8
17126,2021-01-02,1.1
17126,2021-01-02,1.4
17126,2021-01-02,1.6
17126,2021-01-03,1.7
17126,2021-01-03,1.3
17126,2021-01-03,1.0
17126,2021-01-03,0.8
17126,2021-01-03,0.8
17126,2021-01-03,0.6
17126,2021-01-03,0.6
17126,2021-01-03,0.6
17126,2021-01-03,0.5
17126,2021-01-03,0.4
17126,2021-01-03,0.4
17126,2021-01-03,0.4
17126,2021-01-03,0.4
17126,2021-01-03,0.4
17126,2021-01-03,0.3
17126,2021-01-03,0.3
17126,2021-01-03,0.3
17126,2021-01-03,0.2
17126,2021-01-03,0.4
17126,2021-01-03,0.7
17126,2021-01-03,0.9
17126,2021-01-03,0.8
17126,2021-01-03,1.3
17126,2021-01-03,0.8
17126,2021-01-04,0.6
17126,2021-01-04,0.5
17126,2021-01-04,0.4
17126,2021-01-04,0.4
17126,2021-01-04,0.4
17126,2021-01-04,0.5
17126,2021-01-04,0.7
17126,2021-01-04,0.7
17126,2021-01-04,0.6
17126,2021-01-04,0.9
17126,2021-01-04,0.9
17126,2021-01-04,0.7
17126,2021-01-04,0.7
17126,2021-01-04,0.7
17126,2021-01-04,0.7
17126,2021-01-04,0.4
17126,2021-01-04,0.7
17126,2021-01-04,0.6
17126,2021-01-04,0.8
17126,2021-01-04,0.8
17126,2021-01-04,1.0
17126,2021-01-04,0.8
17126,2021-01-04,1.2
17126,2021-01-04,0.7
17126,2021-01-05,0.7
17126,2021-01-05,0.6
17126,2021-01-05,0.7
17126,2021-01-05,0.7
17126,2021-01-05,0.6
17126,2021-01-05,0.8
17126,2021-01-05,0.6
17126,2021-01-05,0.7
17126,2021-01-05,0.7
17126,2021-01-05,0.8
17126,2021-01-05,1.0
17126,2021-01-05,1.1
17126,2021-01-05,1.2
17126,2021-01-05,1.0
17126,2021-01-05,0.8
17126,2021-01-05,0.6
17126,2021-01-05,0.7
17126,2021-01-05,0.8
17126,2021-01-05,0.8
17126,2021-01-05,0.4
17126,2021-01-05,0.3
17126,2021-01-05,0.4
17126,2021-01-05,0.4
17126,2021-01-05,0.4
17126,2021-01-06,0.4
17126,2021-01-06,0.4
17126,2021-01-06,0.4
17126,2021-01-06,0.4
17126,2021-01-06,0.4
17126,2021-01-06,0.4
17126,2021-01-06,0.4
17126,2021-01-06,0.4
17126,2021-01-06,0.4
17126,2021-01-06,0.4
17126,2021-01-06,0.4
17126,2021-01-06,0.4
17126,2021-01-06,0.5
17126,2021-01-06,0.5
17126,2021-01-06,0.6
17126,2021-01-06,0.6
17126,2021-01-06,0.5
17126,2021-01-06,0.5
17126,2021-01-06,0.5
17126,2021-01-06,0.6
17126,2021-01-06,0.7
17126,2021-01-06,0.8
17126,2021-01-06,0.7
17126,2021-01-06,0.7
17126,2021-01-07,0.6
17126,2021-01-07,0.6
17126,2021-01-07,0.5
17126,2021-01-07,0.6
17126,2021-01-07,0.7
17126,2021-01-07,0.7
17126,2021-01-07,0.6
17126,2021-01-07,0.8
17126,2021-01-07,0.9
17126,2021-01-07,1.2
17126,2021-01-07,1.2
17126,2021-01-07,1.2
17126,2021-01-07,1.3
17126,2021-01-07,1.1
17126,2021-01-07,1.0
17126,2021-01-07,1.0
17126,2021-01-07,0.7
17126,2021-01-07,0.7
17126,2021-01-07,0.9
17126,2021-01-07,1.0
17126,2021-01-07,1.3
17126,2021-01-07,1.3
17126,2021-01-07,1.5
17126,2021-01-07,1.9
17126,2021-01-08,2.2
17126,2021-01-08,2.1
17126,2021-01-08,2.3
17126,2021-01-08,1.9
17126,2021-01-08,1.3
17126,2021-01-08,1.1
17126,2021-01-08,1.0
17126,2021-01-08,1.1
17126,2021-01-08,0.9
17126,2021-01-08,1.6
17126,2021-01-08,2.4
17126,2021-01-08,1.8
17126,2021-01-08,1.9
17126,2021-01-08,1.1
17126,2021-01-08,1.2
17126,2021-01-08,0.9
17126,2021-01-08,1.0
17126,2021-01-08,0.8
17126,2021-01-08,0.8
17126,2021-01-08,1.5
17126,2021-01-08,2.1
17126,2021-01-08,2.2
17126,2021-01-08,1.6
17126,2021-01-08,2.4
