idsensore,data,valore
10279,2021-01-02,40.3
10279,2021-01-02,41.1
10279,2021-01-02,37.4
10279,2021-01-02,41.3
10279,2021-01-02,30.5
10279,2021-01-02,24.7
10279,2021-01-02,23.7
10279,2021-01-02,32.3
10279,2021-01-02,35.4
10279,2021-01-02,47.6
10279,2021-01-02,53.2
10279,2021-01-02,54.2
10279,2021-01-02,57.2
10279,2021-01-02,60.8
10279,2021-01-02,64.0
10279,2021-01-02,64.6
10279,2021-01-02,61.8
10279,2021-01-02,62.1
10279,2021-01-02,57.1
10279,2021-01-02,65.3
10279,2021-01-02,65.4
10279,2021-01-02,64.2
10279,2021-01-02,62.6
10279,2021-01-02,57.8
10279,2021-01-03,55.6
10279,2021-01-03,51.4
10279,2021-01-03,38.3
10279,2021-01-03,34.3
10279,2021-01-03,28.8
10279,2021-01-03,24.9
10279,2021-01-03,22.8
10279,2021-01-03,17.2
10279,2021-01-03,18.0
10279,2021-01-03,17.7
10279,2021-01-03,21.9
10279,2021-01-03,19.8
10279,2021-01-03,16.5
10279,2021-01-03,14.8
10279,2021-01-03,12.3
10279,2021-01-03,12.5
10279,2021-01-03,9.6
10279,2021-01-03,14.7
10279,2021-01-03,31.5
10279,2021-01-03,44.6
10279,2021-01-03,51.1
10279,2021-01-03,52.0
10279,2021-01-03,51.8
10279,2021-01-03,38.9
10279,2021-01-04,25.0
10279,2021-01-04,20.8
10279,2021-01-04,18.2
10279,2021-01-04,19.3
10279,2021-01-04,19.2
10279,2021-01-04,21.3
10279,2021-01-04,23.2
10279,2021-01-04,36.2
10279,2021-01-04,50.4
10279,2021-01-04,51.5
10279,2021-01-04,53.5
10279,2021-01-04,41.9
10279,2021-01-04,48.8
10279,2021-01-04,46.8
10279,2021-01-04,36.9
10279,2021-01-04,31.1
10279,2021-01-04,32.6
10279,2021-01-04,35.6
10279,2021-01-04,40.6
10279,2021-01-04,41.3
10279,2021-01-04,38.6
10279,2021-01-04,38.6
10279,2021-01-04,40.8
10279,2021-01-04,41.1
10279,2021-01-05,34.1
10279,2021-01-05,25.7
10279,2021-01-05,23.6
10279,2021-01-05,26.4
10279,2021-01-05,28.5
10279,2021-01-05,25.6
10279,2021-01-05,27.7
10279,2021-01-05,35.0
10279,2021-01-05,38.5
10279,2021-01-05,44.6
10279,2021-01-05,50.0
10279,2021-01-05,54.4
10279,2021-01-05,50.6
10279,2021-01-05,48.7
10279,2021-01-05,41.6
10279,2021-01-05,40.5
10279,2021-01-05,43.8
10279,2021-01-05,55.5
10279,2021-01-05,44.4
10279,2021-01-05,25.3
10279,2021-01-05,20.2
10279,2021-01-05,28.6
10279,2021-01-05,27.2
10279,2021-01-05,23.5
10279,2021-01-06,22.8
10279,2021-01-06,22.2
10279,2021-01-06,18.3
10279,2021-01-06,23.7
10279,2021-01-06,18.3
10279,2021-01-06,14.4
10279,2021-01-06,16.5
10279,2021-01-06,20.3
10279,2021-01-06,30.6
10279,2021-01-06,29.4
10279,2021-01-06,35.0
10279,2021-01-06,32.6
10279,2021-01-06,37.2
10279,2021-01-06,39.5
10279,2021-01-06,42.2
10279,2021-01-06,36.0
10279,2021-01-06,33.8
10279,2021-01-06,39.9
10279,2021-01-06,41.0
10279,2021-01-06,38.4
10279,2021-01-06,42.2
10279,2021-01-06,43.4
10279,2021-01-06,42.7
10279,2021-01-06,37.8
10279,2021-01-07,30.8
10279,2021-01-07,23.3
10279,2021-01-07,20.1
10279,2021-01-07,25.8
10279,2021-01-07,28.5
10279,2021-01-07,27.8
10279,2021-01-07,36.2
10279,2021-01-07,43.2
10279,2021-01-07,49.4
10279,2021-01-07,49.7
10279,2021-01-07,51.2
10279,2021-01-07,49.6
10279,2021-01-07,43.7
10279,2021-01-07,42.3
10279,2021-01-07,40.8
10279,2021-01-07,42.9
10279,2021-01-07,47.1
10279,2021-01-07,52.7
10279,2021-01-07,51.5
10279,2021-01-07,49.9
10279,2021-01-07,54.9
10279,2021-01-07,55.5
10279,2021-01-07,59.1
10279,2021-01-07,62.4
10279,2021-01-08,61.7
10279,2021-01-08,62.0
10279,2021-01-08,58.5
10279,2021-01-08,51.8
10279,2021-01-08,50.9
10279,2021-01-08,44.3
10279,2021-01-08,45.5
10279,2021-01-08,49.4
10279,2021-01-08,53.8
10279,2021-01-08,70.3
10279,2021-01-08,61.3
10279,2021-01-08,61.9
10279,2021-01-08,53.7
10279,2021-01-08,51.0
10279,2021-01-08,53.7
10279,2021-01-08,50.4
10279,2021-01-08,53.4
10279,2021-01-08,51.7
10279,2021-01-08,63.8
10279,2021-01-08,68.5
10279,2021-01-08,77.5
10279,2021-01-08,73.2
10279,2021-01-08,72.2
10279,2021-01-08,74.4
10279,2021-01-09,76.1
10279,2021-01-09,68.6
10279,2021-01-09,62.4
10279,2021-01-09,59.4
10279,2021-01-09,56.4
10279,2021-01-09,55.5
10279,2021-01-09,51.4
10279,2021-01-09,52.9
10279,2021-01-09,58.0
