idsensore,data,valore
10273,2021-01-02,15
10273,2021-01-03,14
10273,2021-01-04,14
10273,2021-01-05,18
10273,2021-01-06,12
10273,2021-01-07,27
10273,2021-01-08,32
10273,2021-01-09,35
10273,2021-01-10,27
10273,2021-01-11,37
10273,2021-01-12,45
10273,2021-01-13,40
10273,2021-01-14,56
10273,2021-01-15,27
10273,2021-01-16,41
10273,2021-01-17,65
10273,2021-01-18,98
10273,2021-01-19,90
10273,2021-01-20,79
10273,2021-01-21,58
10273,2021-01-22,35
10273,2021-01-23,13
10273,2021-01-25,19
10273,2021-01-26,11
10273,2021-01-27,29
10273,2021-01-28,34
10273,2021-01-29,58
10273,2021-01-30,35
10273,2021-01-31,30
10273,2021-02-01,22
10273,2021-02-02,53
10273,2021-02-03,43
10273,2021-02-04,35
10273,2021-02-05,45
10273,2021-02-06,49
10273,2021-02-07,13
10273,2021-02-10,12
10273,2021-02-11,20
10273,2021-02-12,24
10273,2021-02-13,14
10273,2021-02-14,26
10273,2021-02-15,33
10273,2021-02-16,31
10273,2021-02-17,35
10273,2021-02-18,87
10273,2021-02-19,65
10273,2021-02-20,75
10273,2021-02-21,69
10273,2021-02-22,66
10273,2021-02-23,96
10273,2021-02-24,100
10273,2021-02-25,110
10273,2021-02-26,109
10273,2021-02-27,86
10273,2021-02-28,18
10273,2021-03-01,41
10273,2021-03-02,54
10273,2021-03-03,72
10273,2021-03-04,54
10273,2021-03-05,45
10273,2021-03-06,23
10273,2021-03-07,22
10273,2021-03-08,42
10273,2021-03-09,44
10273,2021-03-10,42
10273,2021-03-11,59
10273,2021-03-12,62
10273,2021-03-13,63
10273,2021-03-14,37
10273,2021-03-15,10
10273,2021-03-16,17
10273,2021-03-17,12
10273,2021-03-18,20
10273,2021-03-19,27
10273,2021-03-20,23
10273,2021-03-21,14
10273,2021-03-22,51
10273,2021-03-23,24
10273,2021-03-24,44
10273,2021-03-25,41
10273,2021-03-26,34
10273,2021-03-27,30
10273,2021-03-28,26
10273,2021-03-29,38
10273,2021-03-30,61
10273,2021-03-31,72
10273,2021-04-01,47
10273,2021-04-02,37
10273,2021-04-03,23
10273,2021-04-04,12
10273,2021-04-05,12
10273,2021-04-06,26
10273,2021-04-07,20
10273,2021-04-08,22
10273,2021-04-09,24
10273,2021-04-10,17
10273,2021-04-11,10
10273,2021-04-12,8
10273,2021-04-13,11
10273,2021-04-14,15
10273,2021-04-15,11
10273,2021-04-16,20
10273,2021-04-17,27
10273,2021-04-18,21
10273,2021-04-19,26
10273,2021-04-20,22
10273,2021-04-21,15
10273,2021-04-22,29
10273,2021-04-23,30
10273,2021-04-24,26
10273,2021-04-25,23
10273,2021-04-26,24
10273,2021-04-27,24
10273,2021-04-28,28
10273,2021-04-29,33
10273,2021-04-30,11
10273,2021-05-01,12
10273,2021-05-02,5
10273,2021-05-03,10
10273,2021-05-04,18
10273,2021-05-05,18
10273,2021-05-06,17
10273,2021-05-07,18
10273,2021-05-08,11
10273,2021-05-09,14
10273,2021-05-10,18
10273,2021-05-11,11
10273,2021-05-12,10
10273,2021-05-13,9
10273,2021-05-14,10
10273,2021-05-15,11
10273,2021-05-16,10
10273,2021-05-17,8
10273,2021-05-18,11
10273,2021-05-19,11
10273,2021-05-20,12
10273,2021-05-21,14
10273,2021-05-22,11
10273,2021-05-23,12
10273,2021-05-24,9
10273,2021-05-25,11
10273,2021-05-26,13
10273,2021-05-27,15
10273,2021-05-28,18
10273,2021-06-02,17
10273,2021-06-04,19
10273,2021-06-05,16
10273,2021-06-06,12
10273,2021-06-07,13
10273,2021-06-08,14
10273,2021-06-09,19
10273,2021-06-10,20
10273,2021-06-11,21
10273,2021-06-12,19
10273,2021-06-13,15
10273,2021-06-14,18
10273,2021-06-18,25
10273,2021-06-19,23
10273,2021-06-20,31
10273,2021-06-21,50
10273,2021-06-22,23
10273,2021-06-23,19
10273,2021-06-24,19
10273,2021-07-02,18
10273,2021-07-03,22
10273,2021-07-04,16
10273,2021-07-05,12
10273,2021-07-06,15
10273,2021-07-07,18
10273,2021-07-08,14
10273,2021-07-09,8
10273,2021-07-10,14
10273,2021-07-11,11
10273,2021-07-12,19
10273,2021-07-13,19
10273,2021-07-14,14
10273,2021-07-15,15
10273,2021-07-16,14
10273,2021-07-17,15
10273,2021-07-18,17
10273,2021-07-19,19
10273,2021-07-20,21
10273,2021-07-21,25
10273,2021-07-22,24
10273,2021-07-23,20
10273,2021-07-24,26
10273,2021-07-25,20
10273,2021-07-26,14
10273,2021-07-27,19
10273,2021-07-28,20
10273,2021-07-29,19
10273,2021-07-30,22
10273,2021-07-31,17
10273,2021-08-01,11
10273,2021-08-02,13
10273,2021-08-03,15
10273,2021-08-04,17
10273,2021-08-05,9
10273,2021-08-06,15
10273,2021-08-07,16
10273,2021-08-08,15
10273,2021-08-09,16
10273,2021-08-10,21
10273,2021-08-11,26
10273,2021-08-12,26
10273,2021-08-13,28
10273,2021-08-14,25
10273,2021-08-15,39
10273,2021-08-16,41
10273,2021-08-17,10
10273,2021-08-18,13
10273,2021-08-19,15
10273,2021-08-20,17
10273,2021-08-21,20
10273,2021-08-22,19
10273,2021-08-23,15
10273,2021-08-24,13
10273,2021-08-25,13
10273,2021-08-26,17
10273,2021-08-27,13
10273,2021-08-28,10
10273,2021-08-29,12
10273,2021-08-30,14
10273,2021-08-31,13
10273,2021-09-01,19
10273,2021-09-02,17
10273,2021-09-03,19
10273,2021-09-04,20
10273,2021-09-05,18
10273,2021-09-06,20
10273,2021-09-07,29
10273,2021-09-08,30
10273,2021-09-09,34
10273,2021-09-14,34
10273,2021-09-15,25
10273,2021-09-16,28
10273,2021-09-17,21
10273,2021-09-18,24
10273,2021-09-19,15
10273,2021-09-20,11
10273,2021-09-21,12
10273,2021-09-22,25
10273,2021-09-23,25
10273,2021-09-24,35
10273,2021-09-25,44
10273,2021-09-26,31
10273,2021-09-27,26
10273,2021-09-28,37
10273,2021-09-29,19
10273,2021-09-30,20
10273,2021-10-01,17
10273,2021-10-02,26
10273,2021-10-03,17
10273,2021-10-04,17
10273,2021-10-05,11
10273,2021-10-06,10
10273,2021-10-07,18
10273,2021-10-08,21
10273,2021-10-09,21
10273,2021-10-10,29
10273,2021-10-11,36
10273,2021-10-12,34
10273,2021-10-13,41
10273,2021-10-14,25
10273,2021-10-15,39
10273,2021-10-16,58
10273,2021-10-17,45
10273,2021-10-18,54
10273,2021-10-19,78
10273,2021-10-20,71
10273,2021-10-21,30
10273,2021-10-22,43
10273,2021-10-23,50
10273,2021-10-24,25
10273,2021-10-25,29
10273,2021-10-26,52
10273,2021-10-27,49
10273,2021-10-28,59
10273,2021-10-29,63
10273,2021-10-30,54
10273,2021-10-31,27
10273,2021-11-01,22
10273,2021-11-02,23
10273,2021-11-03,15
10273,2021-11-04,12
10273,2021-11-05,26
10273,2021-11-06,22
10273,2021-11-07,24
10273,2021-11-08,31
10273,2021-11-09,26
10273,2021-11-10,29
10273,2021-11-11,41
10273,2021-11-12,45
10273,2021-11-13,47
10273,2021-11-14,11
10273,2021-11-15,17
10273,2021-11-16,33
10273,2021-11-17,35
10273,2021-11-18,34
10273,2021-11-19,30
10273,2021-11-20,28
10273,2021-11-21,25
10273,2021-11-22,18
10273,2021-11-23,19
10273,2021-11-24,33
10273,2021-11-25,31
10273,2021-11-26,26
10273,2021-11-27,29
10273,2021-11-28,11
10273,2021-11-29,11
10273,2021-11-30,16
10273,2021-12-01,29
10273,2021-12-02,40
10273,2021-12-03,45
10273,2021-12-04,41
10273,2021-12-05,51
10273,2021-12-06,56
10273,2021-12-07,52
10273,2021-12-08,31
10273,2021-12-09,29
10273,2021-12-10,22
10273,2021-12-11,39
10273,2021-12-12,50
10273,2021-12-13,66
10273,2021-12-14,75
10273,2021-12-15,74
10273,2021-12-16,83
10273,2021-12-17,66
10273,2021-12-18,50
10273,2021-12-19,53
10273,2021-12-20,39
10273,2021-12-21,53
10273,2021-12-22,52
10273,2021-12-23,38
10273,2021-12-24,52
10273,2021-12-25,55
10273,2021-12-26,56
10273,2021-12-27,61
10273,2021-12-28,56
10273,2021-12-29,40
10273,2021-12-30,50
10273,2021-12-31,49
10273,2022-01-01,98
10273,2022-01-02,54
10273,2022-01-03,35
10273,2022-01-04,48
10273,2022-01-11,59
10273,2022-01-12,52
10273,2022-01-13,65
10273,2022-01-14,55
10273,2022-01-15,62
10273,2022-01-16,57
10273,2022-01-17,46
