idsensore,data,valore
10283,2021-01-02,14
10283,2021-01-03,11
10283,2021-01-04,12
10283,2021-01-05,15
10283,2021-01-06,10
10283,2021-01-07,22
10283,2021-01-08,24
10283,2021-01-09,27
10283,2021-01-10,21
10283,2021-01-11,29
10283,2021-01-12,35
10283,2021-01-13,29
10283,2021-01-14,42
10283,2021-01-15,17
10283,2021-01-16,29
10283,2021-01-17,56
10283,2021-01-18,68
10283,2021-01-19,70
10283,2021-01-20,65
10283,2021-01-21,46
10283,2021-01-22,27
10283,2021-01-23,11
10283,2021-01-25,14
10283,2021-01-26,7
10283,2021-01-27,17
10283,2021-01-28,22
10283,2021-01-29,45
10283,2021-01-30,28
10283,2021-01-31,25
10283,2021-02-01,15
10283,2021-02-02,35
10283,2021-02-03,33
10283,2021-02-04,27
10283,2021-02-05,32
10283,2021-02-06,33
10283,2021-02-07,10
10283,2021-02-10,8
10283,2021-02-11,15
10283,2021-02-12,16
10283,2021-02-13,11
10283,2021-02-14,21
10283,2021-02-15,23
10283,2021-02-16,20
10283,2021-02-17,25
10283,2021-02-18,64
10283,2021-02-19,49
10283,2021-02-20,58
10283,2021-02-21,51
10283,2021-02-22,50
10283,2021-02-23,53
10283,2021-02-24,49
10283,2021-02-25,47
10283,2021-02-26,45
10283,2021-02-27,40
10283,2021-02-28,10
10283,2021-03-01,26
10283,2021-03-02,35
10283,2021-03-03,48
10283,2021-03-04,35
10283,2021-03-05,25
10283,2021-03-06,15
10283,2021-03-07,17
10283,2021-03-08,33
10283,2021-03-09,32
10283,2021-03-10,31
10283,2021-03-11,41
10283,2021-03-12,37
10283,2021-03-13,43
10283,2021-03-15,6
10283,2021-03-16,11
10283,2021-03-17,8
10283,2021-03-18,15
10283,2021-03-19,16
10283,2021-03-20,18
10283,2021-03-21,10
10283,2021-03-22,28
10283,2021-03-23,15
10283,2021-03-24,28
10283,2021-03-25,28
10283,2021-03-26,22
10283,2021-03-27,20
10283,2021-03-28,17
10283,2021-03-29,24
10283,2021-03-30,40
10283,2021-03-31,45
10283,2021-04-01,30
10283,2021-04-02,18
10283,2021-04-03,12
10283,2021-04-04,6
10283,2021-04-05,8
10283,2021-04-06,17
10283,2021-04-07,13
10283,2021-04-08,12
10283,2021-04-09,12
10283,2021-04-10,6
10283,2021-04-11,8
10283,2021-04-12,7
10283,2021-04-13,8
