idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,utm_nord,utm_est,lat,lng,location,:@computed_region_6hky_swhk,:@computed_region_ttgh_9sm5,:@computed_region_af5v_nc64,datastop
12624,Nikel,ng/m³,705,Milano Pascal Città Studi,122.0,MI,Milano,N,2008-04-01T00:00:00.000,5036190,518405,45.478347,9.231667,"{'type': 'Point', 'coordinates': [9.231667, 45.478347]}",4.0,4.0,8.0,
20020,Ammoniaca,µg/m³,705,Milano Pascal Città Studi,122.0,MI,Milano,N,2007-03-30T00:00:00.000,5036190,518405,45.478347,9.231667,"{'type': 'Point', 'coordinates': [9.231667, 45.478347]}",4.0,4.0,8.0,
12626,Cadmio,ng/m³,705,Milano Pascal Città Studi,122.0,MI,Milano,N,2008-04-01T00:00:00.000,5036190,518405,45.478347,9.231667,"{'type': 'Point', 'coordinates': [9.231667, 45.478347]}",4.0,4.0,8.0,
20004,BlackCarbon,µg/m³,705,Milano Pascal Città Studi,122.0,MI,Milano,N,2013-09-30T00:00:00.000,5036190,518405,45.478347,9.231667,"{'type': 'Point', 'coordinates': [9.231667, 45.478347]}",4.0,4.0,8.0,
10278,Ossidi di Azoto,µg/m³,705,Milano Pascal Città Studi,122.0,MI,Milano,N,2007-06-16T00:00:00.000,5036190,518405,45.478347,9.231667,"{'type': 'Point', 'coordinates': [9.231667, 45.478347]}",4.0,4.0,8.0,
10280,Biossido di Zolfo,µg/m³,705,Milano Pascal Città Studi,122.0,MI,Milano,N,2007-06-16T00:00:00.000,5036190,518405,45.478347,9.231667,"{'type': 'Point', 'coordinates': [9.231667, 45.478347]}",4.0,4.0,8.0,
20484,Ammoniaca,µg/m³,705,Milano Pascal Città Studi,122.0,MI,Milano,N,,5036190,518405,45.478347,9.231667,"{'type': 'Point', 'coordinates': [9.231667, 45.478347]}",4.0,4.0,8.0,
10273,PM10 (SM2005),µg/m³,705,Milano Pascal Città Studi,122.0,MI,Milano,N,2007-04-21T00:00:00.000,5036190,518405,45.478347,9.231667,"{'type': 'Point', 'coordinates': [9.231667, 45.478347]}",4.0,4.0,8.0,
10283,Particelle sospese PM2.5,µg/m³,705,Milano Pascal Città Studi,122.0,MI,Milano,N,2007-03-29T00:00:00.000,5036190,518405,45.478347,9.231667,"{'type': 'Point', 'coordinates': [9.231667, 45.478347]}",4.0,4.0,8.0,
10282,Ozono,µg/m³,705,Milano Pascal Città Studi,122.0,MI,Milano,N,2007-06-16T00:00:00.000,5036190,518405,45.478347,9.231667,"{'type': 'Point', 'coordinates': [9.231667, 45.478347]}",4.0,4.0,8.0,
10279,Biossido di Azoto,µg/m³,705,Milano Pascal Città Studi,122.0,MI,Milano,N,2007-06-16T00:00:00.000,5036190,518405,45.478347,9.231667,"{'type': 'Point', 'coordinates': [9.231667, 45.478347]}",4.0,4.0,8.0,
12627,Piombo,ng/m³,705,Milano Pascal Città Studi,122.0,MI,Milano,N,2008-04-01T00:00:00.000,5036190,518405,45.478347,9.231667,"{'type': 'Point', 'coordinates': [9.231667, 45.478347]}",4.0,4.0,8.0,
17126,Benzene,µg/m³,705,Milano Pascal Città Studi,122.0,MI,Milano,N,2012-09-13T00:00:00.000,5036190,518405,45.478347,9.231667,"{'type': 'Point', 'coordinates': [9.231667, 45.478347]}",4.0,4.0,8.0,
12629,Benzo(a)pirene,ng/m³,705,Milano Pascal Città Studi,122.0,MI,Milano,N,2008-04-02T00:00:00.000,5036190,518405,45.478347,9.231667,"{'type': 'Point', 'coordinates': [9.231667, 45.478347]}",4.0,4.0,8.0,
12625,Arsenico,ng/m³,705,Milano Pascal Città Studi,122.0,MI,Milano,N,2008-04-01T00:00:00.000,5036190,518405,45.478347,9.231667,"{'type': 'Point', 'coordinates': [9.231667, 45.478347]}",4.0,4.0,8.0,
